2023-06-06 05:43:41.749 917:isIngraph              DEBUG  main message
2023-06-06 05:43:41.749 923:isIngraph              WARNING device: cuda, n_gpu: 1
2023-06-06 05:43:42.453 938:isIngraph              INFO   Load Dataset
2023-06-06 05:44:25.962 217:isInGraph              INFO   ../datasets/java250/java250-graphs/unixcoder_java250-source-code.json
2023-06-06 05:44:26.792 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/java250/isINGraphs/unixcoder/unixcoder_train_cdg_cleaned.pt
2023-06-06 05:44:28.355 301:isInGraph              INFO   Labels Counter({0: 22806, 1: 22749})
2023-06-06 05:44:28.355 217:isInGraph              INFO   ../datasets/java250/java250-graphs/unixcoder_java250-source-code.json
2023-06-06 05:44:29.001 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/java250/isINGraphs/unixcoder/unixcoder_valid_cdg_cleaned.pt
2023-06-06 05:44:29.715 301:isInGraph              INFO   Labels Counter({0: 7301, 1: 7288})
2023-06-06 05:44:29.715 217:isInGraph              INFO   ../datasets/java250/java250-graphs/unixcoder_java250-source-code.json
2023-06-06 05:44:30.387 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/java250/isINGraphs/unixcoder/unixcoder_test_cdg_cleaned.pt
2023-06-06 05:44:31.310 301:isInGraph              INFO   Labels Counter({0: 7168, 1: 7159})
2023-06-06 05:44:31.310 306:isInGraph              INFO   *** Example ***
2023-06-06 05:44:31.310 307:isInGraph              INFO   idx: s398466888_main
2023-06-06 05:44:31.310 308:isInGraph              INFO   label: 1
2023-06-06 05:44:31.311 309:isInGraph              INFO   input_tokens_1: ['out']
2023-06-06 05:44:31.311 317:isInGraph              INFO   input_ids_1: 80 81
2023-06-06 05:44:31.311 324:isInGraph              INFO   input_tokens_reverse_1: ĠSystem
2023-06-06 05:44:31.311 334:isInGraph              INFO   input_tokens_2: ['System', '.', 'out', '.', 'println', '("', 'No', '")']
2023-06-06 05:44:31.311 342:isInGraph              INFO   input_ids_2: 89 97
2023-06-06 05:44:31.312 349:isInGraph              INFO   input_tokens_reverse_2: Ġelse Ġ{ ĠSystem . out . println ("
2023-06-06 05:44:31.312 306:isInGraph              INFO   *** Example ***
2023-06-06 05:44:31.312 307:isInGraph              INFO   idx: s037525918_main
2023-06-06 05:44:31.312 308:isInGraph              INFO   label: 1
2023-06-06 05:44:31.312 309:isInGraph              INFO   input_tokens_1: ['System', '.', 'out', '.', 'println', '(', 'a', ')']
2023-06-06 05:44:31.312 317:isInGraph              INFO   input_ids_1: 67 75
2023-06-06 05:44:31.312 324:isInGraph              INFO   input_tokens_reverse_1: ) Ġ{ ĠSystem . out . println (
2023-06-06 05:44:31.313 334:isInGraph              INFO   input_tokens_2: ['out']
2023-06-06 05:44:31.313 342:isInGraph              INFO   input_ids_2: 69 70
2023-06-06 05:44:31.313 349:isInGraph              INFO   input_tokens_reverse_2: ĠSystem
2023-06-06 05:44:31.313 306:isInGraph              INFO   *** Example ***
2023-06-06 05:44:31.313 307:isInGraph              INFO   idx: s279088077_solve
2023-06-06 05:44:31.313 308:isInGraph              INFO   label: 1
2023-06-06 05:44:31.313 309:isInGraph              INFO   input_tokens_1: ['b', '_-', '_a']
2023-06-06 05:44:31.313 317:isInGraph              INFO   input_ids_1: 103 106
2023-06-06 05:44:31.314 324:isInGraph              INFO   input_tokens_reverse_1: First ( b
2023-06-06 05:44:31.314 334:isInGraph              INFO   input_tokens_2: ['stk', '.', 'poll', 'First', '()']
