2023-06-06 05:27:41.194 917:isIngraph              DEBUG  main message
2023-06-06 05:27:41.194 923:isIngraph              WARNING device: cuda, n_gpu: 1
2023-06-06 05:27:41.882 938:isIngraph              INFO   Load Dataset
2023-06-06 05:28:24.550 217:isInGraph              INFO   ../datasets/java250/java250-graphs/unixcoder_java250-source-code.json
2023-06-06 05:28:25.225 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/java250/isINGraphs/unixcoder/unixcoder_train_ddg_cleaned.pt
2023-06-06 05:28:29.327 301:isInGraph              INFO   Labels Counter({1: 49712, 0: 49705})
2023-06-06 05:28:29.330 217:isInGraph              INFO   ../datasets/java250/java250-graphs/unixcoder_java250-source-code.json
2023-06-06 05:28:30.114 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/java250/isINGraphs/unixcoder/unixcoder_valid_ddg_cleaned.pt
2023-06-06 05:28:33.511 301:isInGraph              INFO   Labels Counter({0: 16598, 1: 16598})
2023-06-06 05:28:33.512 217:isInGraph              INFO   ../datasets/java250/java250-graphs/unixcoder_java250-source-code.json
2023-06-06 05:28:34.289 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/java250/isINGraphs/unixcoder/unixcoder_test_ddg_cleaned.pt
2023-06-06 05:28:36.818 301:isInGraph              INFO   Labels Counter({1: 16196, 0: 16189})
2023-06-06 05:28:36.819 306:isInGraph              INFO   *** Example ***
2023-06-06 05:28:36.819 307:isInGraph              INFO   idx: s423282501_main
2023-06-06 05:28:36.819 308:isInGraph              INFO   label: 1
2023-06-06 05:28:36.820 309:isInGraph              INFO   input_tokens_1: ['obj', '.', 'nextInt', '()']
2023-06-06 05:28:36.820 317:isInGraph              INFO   input_ids_1: 29 33
2023-06-06 05:28:36.820 324:isInGraph              INFO   input_tokens_reverse_1: Ġk Ġ= Ġobj .
2023-06-06 05:28:36.820 334:isInGraph              INFO   input_tokens_2: ['obj', '_=', '_new', '_Scanner', '(', 'System', '.', 'in', ')']
2023-06-06 05:28:36.820 342:isInGraph              INFO   input_ids_2: 11 20
2023-06-06 05:28:36.821 349:isInGraph              INFO   input_tokens_reverse_2: Ġ{ ĠScanner Ġobj Ġ= Ġnew ĠScanner ( System .
2023-06-06 05:28:36.821 306:isInGraph              INFO   *** Example ***
2023-06-06 05:28:36.821 307:isInGraph              INFO   idx: s905038336_main
2023-06-06 05:28:36.821 308:isInGraph              INFO   label: 0
2023-06-06 05:28:36.821 309:isInGraph              INFO   input_tokens_1: ['s']
2023-06-06 05:28:36.821 317:isInGraph              INFO   input_ids_1: 47 48
2023-06-06 05:28:36.821 324:isInGraph              INFO   input_tokens_reverse_1: Ġif
2023-06-06 05:28:36.822 334:isInGraph              INFO   input_tokens_2: ['sc']
2023-06-06 05:28:36.822 342:isInGraph              INFO   input_ids_2: 11 12
2023-06-06 05:28:36.822 349:isInGraph              INFO   input_tokens_reverse_2: Ġ{
2023-06-06 05:28:36.822 306:isInGraph              INFO   *** Example ***
