2022-10-08 10:34:46.405 917:isIngraph              DEBUG  main message
2022-10-08 10:34:46.405 923:isIngraph              WARNING device: cuda, n_gpu: 1
2022-10-08 10:34:54.154 938:isIngraph              INFO   Load Dataset
2022-10-08 10:35:46.728 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/java250/isINGraphs/codebert/codebert_train_cdg_cleaned.pt
2022-10-08 10:35:47.981 301:isInGraph              INFO   Labels Counter({0: 22806, 1: 22749})
2022-10-08 10:35:48.015 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/java250/isINGraphs/codebert/codebert_valid_cdg_cleaned.pt
2022-10-08 10:35:48.579 301:isInGraph              INFO   Labels Counter({0: 7301, 1: 7288})
2022-10-08 10:35:48.602 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/java250/isINGraphs/codebert/codebert_test_cdg_cleaned.pt
2022-10-08 10:35:49.352 301:isInGraph              INFO   Labels Counter({0: 7168, 1: 7159})
2022-10-08 10:35:49.352 306:isInGraph              INFO   *** Example ***
2022-10-08 10:35:49.352 307:isInGraph              INFO   idx: s174406381_readString
2022-10-08 10:35:49.352 308:isInGraph              INFO   label: 0
2022-10-08 10:35:49.357 309:isInGraph              INFO   input_tokens_1: ['public', '_String', '_read', 'String', '()']
2022-10-08 10:35:49.357 317:isInGraph              INFO   input_ids_1: 1 6
2022-10-08 10:35:49.357 324:isInGraph              INFO   input_tokens_reverse_1: public ĠString Ġread String ()
2022-10-08 10:35:49.358 334:isInGraph              INFO   input_tokens_2: ['c']
2022-10-08 10:35:49.358 342:isInGraph              INFO   input_ids_2: 42 43
2022-10-08 10:35:49.358 349:isInGraph              INFO   input_tokens_reverse_2: Ġc
2022-10-08 10:35:49.358 306:isInGraph              INFO   *** Example ***
2022-10-08 10:35:49.359 307:isInGraph              INFO   idx: s218837597_isPrime
2022-10-08 10:35:49.359 308:isInGraph              INFO   label: 1
2022-10-08 10:35:49.359 309:isInGraph              INFO   input_tokens_1: ['i', '_<=', '_d']
2022-10-08 10:35:49.359 317:isInGraph              INFO   input_ids_1: 51 54
2022-10-08 10:35:49.360 324:isInGraph              INFO   input_tokens_reverse_1: Ġi Ġ<= Ġd
2022-10-08 10:35:49.360 334:isInGraph              INFO   input_tokens_2: ['i', '_=', '_3']
2022-10-08 10:35:49.360 342:isInGraph              INFO   input_ids_2: 47 50
2022-10-08 10:35:49.361 349:isInGraph              INFO   input_tokens_reverse_2: Ġi Ġ= Ġ3
2022-10-08 10:35:49.361 306:isInGraph              INFO   *** Example ***
2022-10-08 10:35:49.361 307:isInGraph              INFO   idx: s956372239_main
2022-10-08 10:35:49.361 308:isInGraph              INFO   label: 0
2022-10-08 10:35:49.362 309:isInGraph              INFO   input_tokens_1: ['(', 'int', ')', '_cal', 'uc', 'ulated', 'Y']
2022-10-08 10:35:49.362 317:isInGraph              INFO   input_ids_1: 156 163
2022-10-08 10:35:49.362 324:isInGraph              INFO   input_tokens_reverse_1: Ġ( int ) Ġcal uc ulated Y
2022-10-08 10:35:49.363 334:isInGraph              INFO   input_tokens_2: ['div', 'ide', 'List']
2022-10-08 10:35:49.363 342:isInGraph              INFO   input_ids_2: 48 50
2022-10-08 10:35:49.363 349:isInGraph              INFO   input_tokens_reverse_2: Ġdivide List
2022-10-08 10:35:49.363 306:isInGraph              INFO   *** Example ***
2022-10-08 10:35:49.364 307:isInGraph              INFO   idx: s870065200_main
2022-10-08 10:35:49.364 308:isInGraph              INFO   label: 1
2022-10-08 10:35:49.364 309:isInGraph              INFO   input_tokens_1: ['h', '_==', '_t']
