2022-10-08 09:36:00.749 917:isIngraph              DEBUG  main message
2022-10-08 09:36:00.750 923:isIngraph              WARNING device: cuda, n_gpu: 1
2022-10-08 09:36:08.403 938:isIngraph              INFO   Load Dataset
2022-10-08 09:37:16.227 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/java250/isINGraphs/codebert/codebert_train_ddg_cleaned.pt
2022-10-08 09:37:18.946 301:isInGraph              INFO   Labels Counter({1: 49712, 0: 49705})
2022-10-08 09:37:18.975 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/java250/isINGraphs/codebert/codebert_valid_ddg_cleaned.pt
2022-10-08 09:37:20.157 301:isInGraph              INFO   Labels Counter({0: 16598, 1: 16598})
2022-10-08 09:37:20.183 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/java250/isINGraphs/codebert/codebert_test_ddg_cleaned.pt
2022-10-08 09:37:21.712 301:isInGraph              INFO   Labels Counter({1: 16196, 0: 16189})
2022-10-08 09:37:21.712 306:isInGraph              INFO   *** Example ***
2022-10-08 09:37:21.712 307:isInGraph              INFO   idx: s705760875_main
2022-10-08 09:37:21.712 308:isInGraph              INFO   label: 1
2022-10-08 09:37:21.716 309:isInGraph              INFO   input_tokens_1: ['all', '_-', '_can', 'Div', 'C']
2022-10-08 09:37:21.716 317:isInGraph              INFO   input_ids_1: 166 171
2022-10-08 09:37:21.716 324:isInGraph              INFO   input_tokens_reverse_1: all Ġ- Ġcan Div C
2022-10-08 09:37:21.716 334:isInGraph              INFO   input_tokens_2: ['a', '_=', '_scanner', '.', 'next', 'Long', '()']
2022-10-08 09:37:21.716 342:isInGraph              INFO   input_ids_2: 24 31
2022-10-08 09:37:21.716 349:isInGraph              INFO   input_tokens_reverse_2: Ġa Ġ= Ġscanner . next Long ();
2022-10-08 09:37:21.716 306:isInGraph              INFO   *** Example ***
2022-10-08 09:37:21.716 307:isInGraph              INFO   idx: s822018079_main
2022-10-08 09:37:21.717 308:isInGraph              INFO   label: 1
2022-10-08 09:37:21.717 309:isInGraph              INFO   input_tokens_1: ['scan', '.', 'next', 'Int', '()']
2022-10-08 09:37:21.717 317:isInGraph              INFO   input_ids_1: 57 62
2022-10-08 09:37:21.717 324:isInGraph              INFO   input_tokens_reverse_1: Ġscan . next Int ();
2022-10-08 09:37:21.717 334:isInGraph              INFO   input_tokens_2: ['n', '_=', '_scan', '.', 'next', 'Int', '()']
2022-10-08 09:37:21.717 342:isInGraph              INFO   input_ids_2: 24 31
2022-10-08 09:37:21.717 349:isInGraph              INFO   input_tokens_reverse_2: Ġn Ġ= Ġscan . next Int ();
2022-10-08 09:37:21.717 306:isInGraph              INFO   *** Example ***
2022-10-08 09:37:21.717 307:isInGraph              INFO   idx: s170796941_main
2022-10-08 09:37:21.717 308:isInGraph              INFO   label: 1
2022-10-08 09:37:21.718 309:isInGraph              INFO   input_tokens_1: ['s', '_=', '_sc', '.', 'next', 'Line', '()']
2022-10-08 09:37:21.718 317:isInGraph              INFO   input_ids_1: 22 29
2022-10-08 09:37:21.718 324:isInGraph              INFO   input_tokens_reverse_1: Ġs Ġ= Ġsc . next Line ();
2022-10-08 09:37:21.718 334:isInGraph              INFO   input_tokens_2: ['a', '_==', '_b', '_&&', '_c', '_==', '_d']
2022-10-08 09:37:21.718 342:isInGraph              INFO   input_ids_2: 71 78
2022-10-08 09:37:21.718 349:isInGraph              INFO   input_tokens_reverse_2: a Ġ== Ġb Ġ&& Ġc Ġ== Ġd
2022-10-08 09:37:21.718 306:isInGraph              INFO   *** Example ***
2022-10-08 09:37:21.718 307:isInGraph              INFO   idx: s605449832_solve
2022-10-08 09:37:21.718 308:isInGraph              INFO   label: 0
2022-10-08 09:37:21.718 309:isInGraph              INFO   input_tokens_1: ['"', 'WA', '"']
2022-10-08 09:37:21.718 317:isInGraph              INFO   input_ids_1: 57 60
2022-10-08 09:37:21.718 324:isInGraph              INFO   input_tokens_reverse_1: (" WA ",
2022-10-08 09:37:21.719 334:isInGraph              INFO   input_tokens_2: ['in']
2022-10-08 09:37:21.719 342:isInGraph              INFO   input_ids_2: 87 88
2022-10-08 09:37:21.719 349:isInGraph              INFO   input_tokens_reverse_2: Ġin
2022-10-08 09:37:21.719 306:isInGraph              INFO   *** Example ***
2022-10-08 09:37:21.719 307:isInGraph              INFO   idx: s320196236_main
2022-10-08 09:37:21.719 308:isInGraph              INFO   label: 1
2022-10-08 09:37:21.719 309:isInGraph              INFO   input_tokens_1: ['minimum', '_=', '_BIG', '_', 'NUM']
2022-10-08 09:37:21.719 317:isInGraph              INFO   input_ids_1: 24 29
2022-10-08 09:37:21.719 324:isInGraph              INFO   input_tokens_reverse_1: Ġminimum Ġ= ĠBIG _ NUM
2022-10-08 09:37:21.719 334:isInGraph              INFO   input_tokens_2: ['scan', 'ner', '_=', '_new', '_Scan', 'ner', '(', 'System', '.', 'in', ')']
2022-10-08 09:37:21.720 342:isInGraph              INFO   input_ids_2: 32 42
2022-10-08 09:37:21.720 349:isInGraph              INFO   input_tokens_reverse_2: Ġscanner Ġ= Ġnew ĠScan ner ( System . in );
2022-10-08 09:37:21.720 306:isInGraph              INFO   *** Example ***
2022-10-08 09:37:21.720 307:isInGraph              INFO   idx: s646691055_takearr
2022-10-08 09:37:21.720 308:isInGraph              INFO   label: 1
2022-10-08 09:37:21.720 309:isInGraph              INFO   input_tokens_1: ['i', '_<', '_n']
2022-10-08 09:37:21.720 317:isInGraph              INFO   input_ids_1: 30 33
2022-10-08 09:37:21.720 324:isInGraph              INFO   input_tokens_reverse_1: Ġi Ġ< Ġn
2022-10-08 09:37:21.720 334:isInGraph              INFO   input_tokens_2: ['next', 'Int', '()']
2022-10-08 09:37:21.720 342:isInGraph              INFO   input_ids_2: 41 44
2022-10-08 09:37:21.720 349:isInGraph              INFO   input_tokens_reverse_2: Ġnext Int ();
2022-10-08 09:37:21.720 306:isInGraph              INFO   *** Example ***
2022-10-08 09:37:21.721 307:isInGraph              INFO   idx: s038523957_main
2022-10-08 09:37:21.721 308:isInGraph              INFO   label: 1
2022-10-08 09:37:21.721 309:isInGraph              INFO   input_tokens_1: ['max', '_=', '_sum']
2022-10-08 09:37:21.721 317:isInGraph              INFO   input_ids_1: 236 239
2022-10-08 09:37:21.721 324:isInGraph              INFO   input_tokens_reverse_1: Ġmax Ġ= Ġsum
2022-10-08 09:37:21.721 334:isInGraph              INFO   input_tokens_2: ['N', '_-', '_1']
2022-10-08 09:37:21.721 342:isInGraph              INFO   input_ids_2: 232 235
2022-10-08 09:37:21.721 349:isInGraph              INFO   input_tokens_reverse_2: N Ġ- Ġ1
2022-10-08 09:37:21.721 306:isInGraph              INFO   *** Example ***
2022-10-08 09:37:21.721 307:isInGraph              INFO   idx: s216343481_main
2022-10-08 09:37:21.721 308:isInGraph              INFO   label: 1
2022-10-08 09:37:21.721 309:isInGraph              INFO   input_tokens_1: ['i', '_=', '_0']
2022-10-08 09:37:21.722 317:isInGraph              INFO   input_ids_1: 51 54
2022-10-08 09:37:21.722 324:isInGraph              INFO   input_tokens_reverse_1: Ġi Ġ= Ġ0
2022-10-08 09:37:21.722 334:isInGraph              INFO   input_tokens_2: ['s', '.', 'next', 'Int', '()']
2022-10-08 09:37:21.722 342:isInGraph              INFO   input_ids_2: 26 31
2022-10-08 09:37:21.722 349:isInGraph              INFO   input_tokens_reverse_2: Ġs . next Int ();
2022-10-08 09:37:21.722 306:isInGraph              INFO   *** Example ***
2022-10-08 09:37:21.722 307:isInGraph              INFO   idx: s230671883_main
2022-10-08 09:37:21.722 308:isInGraph              INFO   label: 0
2022-10-08 09:37:21.722 309:isInGraph              INFO   input_tokens_1: ['p', 'w', '.', 'flush', '()']
2022-10-08 09:37:21.722 317:isInGraph              INFO   input_ids_1: 147 152
2022-10-08 09:37:21.722 324:isInGraph              INFO   input_tokens_reverse_1: Ġp w . flush ();
2022-10-08 09:37:21.723 334:isInGraph              INFO   input_tokens_2: ['0']
2022-10-08 09:37:21.723 342:isInGraph              INFO   input_ids_2: 67 68
2022-10-08 09:37:21.723 349:isInGraph              INFO   input_tokens_reverse_2: Ġ0
2022-10-08 09:37:21.723 978:isIngraph              INFO   Finishing loading Dataset
2022-10-08 09:37:21.747 987:isIngraph              INFO   Probimg Model Parameters 3843
2022-10-08 09:37:21.747 988:isIngraph              INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, class_num=2, config_name='microsoft/codebert-base', data_folder='../datasets/java250/isINGraphs', dataset='java250', debug=False, device=device(type='cuda'), do_crossing='cleaned', do_eval=False, do_random=True, do_test=True, do_train=True, epochs=1, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ddg', layer=11, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='codebert', model_name_or_path='microsoft/codebert-base', n_gpu=1, output_dir='../isInGraph/java250/random/saved_codebertmodels/2/ddg_11', posratio=0.5, seed=116, token_config='microsoft/codebert-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2022-10-08 09:37:23.607 451:isIngraph              INFO   ***** Running training *****
2022-10-08 09:37:23.607 452:isIngraph              INFO     Num examples = 99417
2022-10-08 09:37:23.607 453:isIngraph              INFO     Num Epochs = 1
2022-10-08 09:37:23.608 454:isIngraph              INFO     Instantaneous batch size per GPU = 64
2022-10-08 09:37:23.608 458:isIngraph              INFO     Total train batch size = 64
2022-10-08 09:37:23.608 462:isIngraph              INFO     Gradient Accumulation steps = 1
2022-10-08 09:37:23.608 465:isIngraph              INFO     Total optimization steps = 1554
2022-10-08 09:37:30.312 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-08 09:37:30.312 581:isIngraph              INFO     Num examples = 33196
2022-10-08 09:37:30.312 582:isIngraph              INFO     Batch size = 32
2022-10-08 09:37:47.649 627:isIngraph              INFO   ***** Eval results *****
2022-10-08 09:37:47.649 629:isIngraph              INFO     eval_acc = 0.8106
2022-10-08 09:37:47.649 629:isIngraph              INFO     eval_f1 = 0.8057
2022-10-08 09:37:47.649 629:isIngraph              INFO     eval_mcc = 0.6221
2022-10-08 09:37:47.649 629:isIngraph              INFO     eval_precision = 0.8273
2022-10-08 09:37:47.649 629:isIngraph              INFO     eval_recall = 0.7852
2022-10-08 09:37:47.649 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-08 09:37:47.649 522:isIngraph              INFO     ********************
2022-10-08 09:37:47.650 523:isIngraph              INFO     Best f1:0.8057
2022-10-08 09:37:47.650 524:isIngraph              INFO     ********************
2022-10-08 09:37:47.651 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-f1/model.bin
2022-10-08 09:37:47.651 544:isIngraph              INFO     ********************
2022-10-08 09:37:47.651 545:isIngraph              INFO     Best MCC:0.6221
2022-10-08 09:37:47.651 546:isIngraph              INFO     ********************
2022-10-08 09:37:47.652 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-mcc/model.bin
2022-10-08 09:37:53.064 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-08 09:37:53.065 581:isIngraph              INFO     Num examples = 33196
2022-10-08 09:37:53.065 582:isIngraph              INFO     Batch size = 32
2022-10-08 09:38:10.487 627:isIngraph              INFO   ***** Eval results *****
2022-10-08 09:38:10.487 629:isIngraph              INFO     eval_acc = 0.8825
2022-10-08 09:38:10.487 629:isIngraph              INFO     eval_f1 = 0.8837
2022-10-08 09:38:10.487 629:isIngraph              INFO     eval_mcc = 0.7653
2022-10-08 09:38:10.487 629:isIngraph              INFO     eval_precision = 0.8749
2022-10-08 09:38:10.487 629:isIngraph              INFO     eval_recall = 0.8928
2022-10-08 09:38:10.487 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-08 09:38:10.488 522:isIngraph              INFO     ********************
2022-10-08 09:38:10.488 523:isIngraph              INFO     Best f1:0.8837
2022-10-08 09:38:10.488 524:isIngraph              INFO     ********************
2022-10-08 09:38:10.488 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-f1/model.bin
2022-10-08 09:38:10.489 544:isIngraph              INFO     ********************
2022-10-08 09:38:10.489 545:isIngraph              INFO     Best MCC:0.7653
2022-10-08 09:38:10.489 546:isIngraph              INFO     ********************
2022-10-08 09:38:10.489 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-mcc/model.bin
2022-10-08 09:38:15.796 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-08 09:38:15.796 581:isIngraph              INFO     Num examples = 33196
2022-10-08 09:38:15.796 582:isIngraph              INFO     Batch size = 32
2022-10-08 09:38:33.381 627:isIngraph              INFO   ***** Eval results *****
2022-10-08 09:38:33.382 629:isIngraph              INFO     eval_acc = 0.8996
2022-10-08 09:38:33.382 629:isIngraph              INFO     eval_f1 = 0.8993
2022-10-08 09:38:33.382 629:isIngraph              INFO     eval_mcc = 0.7992
2022-10-08 09:38:33.382 629:isIngraph              INFO     eval_precision = 0.9019
2022-10-08 09:38:33.382 629:isIngraph              INFO     eval_recall = 0.8967
2022-10-08 09:38:33.382 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-08 09:38:33.382 522:isIngraph              INFO     ********************
2022-10-08 09:38:33.382 523:isIngraph              INFO     Best f1:0.8993
2022-10-08 09:38:33.382 524:isIngraph              INFO     ********************
2022-10-08 09:38:33.383 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-f1/model.bin
2022-10-08 09:38:33.383 544:isIngraph              INFO     ********************
2022-10-08 09:38:33.383 545:isIngraph              INFO     Best MCC:0.7992
2022-10-08 09:38:33.383 546:isIngraph              INFO     ********************
2022-10-08 09:38:33.384 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-mcc/model.bin
2022-10-08 09:38:38.734 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-08 09:38:38.734 581:isIngraph              INFO     Num examples = 33196
2022-10-08 09:38:38.734 582:isIngraph              INFO     Batch size = 32
2022-10-08 09:38:55.577 627:isIngraph              INFO   ***** Eval results *****
2022-10-08 09:38:55.577 629:isIngraph              INFO     eval_acc = 0.9091
2022-10-08 09:38:55.577 629:isIngraph              INFO     eval_f1 = 0.9098
2022-10-08 09:38:55.578 629:isIngraph              INFO     eval_mcc = 0.8183
2022-10-08 09:38:55.578 629:isIngraph              INFO     eval_precision = 0.9025
2022-10-08 09:38:55.578 629:isIngraph              INFO     eval_recall = 0.9173
2022-10-08 09:38:55.578 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-08 09:38:55.578 522:isIngraph              INFO     ********************
2022-10-08 09:38:55.578 523:isIngraph              INFO     Best f1:0.9098
2022-10-08 09:38:55.578 524:isIngraph              INFO     ********************
2022-10-08 09:38:55.579 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-f1/model.bin
2022-10-08 09:38:55.579 544:isIngraph              INFO     ********************
2022-10-08 09:38:55.579 545:isIngraph              INFO     Best MCC:0.8183
2022-10-08 09:38:55.579 546:isIngraph              INFO     ********************
2022-10-08 09:38:55.580 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-mcc/model.bin
2022-10-08 09:39:00.972 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-08 09:39:00.972 581:isIngraph              INFO     Num examples = 33196
2022-10-08 09:39:00.972 582:isIngraph              INFO     Batch size = 32
2022-10-08 09:39:18.698 627:isIngraph              INFO   ***** Eval results *****
2022-10-08 09:39:18.698 629:isIngraph              INFO     eval_acc = 0.9132
2022-10-08 09:39:18.698 629:isIngraph              INFO     eval_f1 = 0.9158
2022-10-08 09:39:18.698 629:isIngraph              INFO     eval_mcc = 0.8279
2022-10-08 09:39:18.698 629:isIngraph              INFO     eval_precision = 0.8896
2022-10-08 09:39:18.698 629:isIngraph              INFO     eval_recall = 0.9435
2022-10-08 09:39:18.698 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-08 09:39:18.699 522:isIngraph              INFO     ********************
2022-10-08 09:39:18.699 523:isIngraph              INFO     Best f1:0.9158
2022-10-08 09:39:18.699 524:isIngraph              INFO     ********************
2022-10-08 09:39:18.699 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-f1/model.bin
2022-10-08 09:39:18.700 544:isIngraph              INFO     ********************
2022-10-08 09:39:18.700 545:isIngraph              INFO     Best MCC:0.8279
2022-10-08 09:39:18.700 546:isIngraph              INFO     ********************
2022-10-08 09:39:18.700 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-mcc/model.bin
2022-10-08 09:39:24.110 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-08 09:39:24.110 581:isIngraph              INFO     Num examples = 33196
2022-10-08 09:39:24.110 582:isIngraph              INFO     Batch size = 32
2022-10-08 09:39:41.494 627:isIngraph              INFO   ***** Eval results *****
2022-10-08 09:39:41.494 629:isIngraph              INFO     eval_acc = 0.9129
2022-10-08 09:39:41.494 629:isIngraph              INFO     eval_f1 = 0.9165
2022-10-08 09:39:41.494 629:isIngraph              INFO     eval_mcc = 0.829
2022-10-08 09:39:41.494 629:isIngraph              INFO     eval_precision = 0.8802
2022-10-08 09:39:41.494 629:isIngraph              INFO     eval_recall = 0.956
2022-10-08 09:39:41.494 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-08 09:39:41.495 522:isIngraph              INFO     ********************
2022-10-08 09:39:41.495 523:isIngraph              INFO     Best f1:0.9165
2022-10-08 09:39:41.495 524:isIngraph              INFO     ********************
2022-10-08 09:39:41.495 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-f1/model.bin
2022-10-08 09:39:41.496 544:isIngraph              INFO     ********************
2022-10-08 09:39:41.496 545:isIngraph              INFO     Best MCC:0.829
2022-10-08 09:39:41.496 546:isIngraph              INFO     ********************
2022-10-08 09:39:41.496 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-mcc/model.bin
2022-10-08 09:39:46.882 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-08 09:39:46.882 581:isIngraph              INFO     Num examples = 33196
2022-10-08 09:39:46.882 582:isIngraph              INFO     Batch size = 32
2022-10-08 09:40:04.502 627:isIngraph              INFO   ***** Eval results *****
2022-10-08 09:40:04.502 629:isIngraph              INFO     eval_acc = 0.9218
2022-10-08 09:40:04.503 629:isIngraph              INFO     eval_f1 = 0.9235
2022-10-08 09:40:04.503 629:isIngraph              INFO     eval_mcc = 0.8444
2022-10-08 09:40:04.503 629:isIngraph              INFO     eval_precision = 0.904
2022-10-08 09:40:04.503 629:isIngraph              INFO     eval_recall = 0.9438
2022-10-08 09:40:04.503 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-08 09:40:04.503 522:isIngraph              INFO     ********************
2022-10-08 09:40:04.503 523:isIngraph              INFO     Best f1:0.9235
2022-10-08 09:40:04.503 524:isIngraph              INFO     ********************
2022-10-08 09:40:04.504 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-f1/model.bin
2022-10-08 09:40:04.504 544:isIngraph              INFO     ********************
2022-10-08 09:40:04.504 545:isIngraph              INFO     Best MCC:0.8444
2022-10-08 09:40:04.504 546:isIngraph              INFO     ********************
2022-10-08 09:40:04.505 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-mcc/model.bin
2022-10-08 09:40:09.902 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-08 09:40:09.902 581:isIngraph              INFO     Num examples = 33196
2022-10-08 09:40:09.902 582:isIngraph              INFO     Batch size = 32
2022-10-08 09:40:26.883 627:isIngraph              INFO   ***** Eval results *****
2022-10-08 09:40:26.884 629:isIngraph              INFO     eval_acc = 0.9265
2022-10-08 09:40:26.884 629:isIngraph              INFO     eval_f1 = 0.9273
2022-10-08 09:40:26.884 629:isIngraph              INFO     eval_mcc = 0.8532
2022-10-08 09:40:26.884 629:isIngraph              INFO     eval_precision = 0.9178
2022-10-08 09:40:26.884 629:isIngraph              INFO     eval_recall = 0.9369
2022-10-08 09:40:26.884 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-08 09:40:26.884 522:isIngraph              INFO     ********************
2022-10-08 09:40:26.884 523:isIngraph              INFO     Best f1:0.9273
2022-10-08 09:40:26.884 524:isIngraph              INFO     ********************
2022-10-08 09:40:26.885 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-f1/model.bin
2022-10-08 09:40:26.885 544:isIngraph              INFO     ********************
2022-10-08 09:40:26.885 545:isIngraph              INFO     Best MCC:0.8532
2022-10-08 09:40:26.886 546:isIngraph              INFO     ********************
2022-10-08 09:40:26.886 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/java250/random/saved_codebertmodels/2/ddg_11/checkpoint-best-mcc/model.bin
2022-10-08 09:40:32.301 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-08 09:40:32.301 581:isIngraph              INFO     Num examples = 33196
2022-10-08 09:40:32.301 582:isIngraph              INFO     Batch size = 32
2022-10-08 09:40:50.031 627:isIngraph              INFO   ***** Eval results *****
2022-10-08 09:40:50.032 629:isIngraph              INFO     eval_acc = 0.9264
2022-10-08 09:40:50.032 629:isIngraph              INFO     eval_f1 = 0.9274
2022-10-08 09:40:50.032 629:isIngraph              INFO     eval_mcc = 0.8531
