2023-05-26 16:43:03.594 936:isIngraph              DEBUG  main message
2023-05-26 16:43:03.594 942:isIngraph              WARNING device: cuda, n_gpu: 1
2023-05-26 16:43:04.222 957:isIngraph              INFO   Load Dataset
2023-05-26 16:43:32.420 248:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/codet5/codet5_train_ddg_cleaned.pt
2023-05-26 16:43:36.176 302:isInGraph              INFO   Labels Counter({0: 54318, 1: 54318})
2023-05-26 16:43:36.218 248:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/codet5/codet5_valid_ddg_cleaned.pt
2023-05-26 16:43:37.950 302:isInGraph              INFO   Labels Counter({0: 18321, 1: 18321})
2023-05-26 16:43:37.986 248:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/codet5/codet5_test_ddg_cleaned.pt
2023-05-26 16:43:40.087 302:isInGraph              INFO   Labels Counter({0: 18187, 1: 18187})
2023-05-26 16:43:40.090 307:isInGraph              INFO   *** Example ***
2023-05-26 16:43:40.091 308:isInGraph              INFO   idx: 48902
2023-05-26 16:43:40.091 309:isInGraph              INFO   label: 0
2023-05-26 16:43:40.095 310:isInGraph              INFO   input_tokens_1: ['flag']
2023-05-26 16:43:40.095 318:isInGraph              INFO   input_ids_1: 163 164
2023-05-26 16:43:40.095 325:isInGraph              INFO   input_tokens_reverse_1: ].
2023-05-26 16:43:40.096 335:isInGraph              INFO   input_tokens_2: ['if', '_(', 'word', '1', '[', 'k', '].', 'flag', '_==', '_1', ')']
2023-05-26 16:43:40.096 343:isInGraph              INFO   input_ids_2: 208 219
2023-05-26 16:43:40.097 350:isInGraph              INFO   input_tokens_reverse_2: Ċ Ġ Ġ} Ċ Ġ Ġfor Ġ( k Ġ= Ġ0 ;
2023-05-26 16:43:40.097 307:isInGraph              INFO   *** Example ***
2023-05-26 16:43:40.097 308:isInGraph              INFO   idx: 45360
2023-05-26 16:43:40.097 309:isInGraph              INFO   label: 1
2023-05-26 16:43:40.098 310:isInGraph              INFO   input_tokens_1: ['return', '_0', ';']
2023-05-26 16:43:40.098 318:isInGraph              INFO   input_ids_1: 99 102
2023-05-26 16:43:40.098 325:isInGraph              INFO   input_tokens_reverse_1: \ n ",
2023-05-26 16:43:40.098 335:isInGraph              INFO   input_tokens_2: ['gets', '(', 's', ')']
2023-05-26 16:43:40.099 343:isInGraph              INFO   input_ids_2: 22 26
2023-05-26 16:43:40.099 350:isInGraph              INFO   input_tokens_reverse_2: char )); Ċ Ġ
2023-05-26 16:43:40.099 307:isInGraph              INFO   *** Example ***
2023-05-26 16:43:40.099 308:isInGraph              INFO   idx: 40464
2023-05-26 16:43:40.099 309:isInGraph              INFO   label: 1
2023-05-26 16:43:40.100 310:isInGraph              INFO   input_tokens_1: ['j', '_<', '_5']
2023-05-26 16:43:40.100 318:isInGraph              INFO   input_ids_1: 212 215
2023-05-26 16:43:40.101 325:isInGraph              INFO   input_tokens_reverse_1: Ġn ); Ċ
2023-05-26 16:43:40.101 335:isInGraph              INFO   input_tokens_2: ['i', '++']
2023-05-26 16:43:40.101 343:isInGraph              INFO   input_ids_2: 125 127
2023-05-26 16:43:40.101 350:isInGraph              INFO   input_tokens_reverse_2: Ġa [
2023-05-26 16:43:40.101 307:isInGraph              INFO   *** Example ***
2023-05-26 16:43:40.102 308:isInGraph              INFO   idx: 48475
