2022-10-21 00:12:59.238 917:isIngraph              DEBUG  main message
2022-10-21 00:12:59.238 923:isIngraph              WARNING device: cuda, n_gpu: 1
2022-10-21 00:13:07.333 938:isIngraph              INFO   Load Dataset
2022-10-21 00:13:38.830 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/graphcodebert/graphcodebert_train_cdg_cleaned.pt
2022-10-21 00:13:41.541 301:isInGraph              INFO   Labels Counter({1: 43929, 0: 43929})
2022-10-21 00:13:41.563 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/graphcodebert/graphcodebert_valid_cdg_cleaned.pt
2022-10-21 00:13:42.768 301:isInGraph              INFO   Labels Counter({1: 14626, 0: 14626})
2022-10-21 00:13:42.787 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/graphcodebert/graphcodebert_test_cdg_cleaned.pt
2022-10-21 00:13:45.807 301:isInGraph              INFO   Labels Counter({0: 15161, 1: 15161})
2022-10-21 00:13:45.807 306:isInGraph              INFO   *** Example ***
2022-10-21 00:13:45.807 307:isInGraph              INFO   idx: 47831
2022-10-21 00:13:45.807 308:isInGraph              INFO   label: 1
2022-10-21 00:13:45.809 309:isInGraph              INFO   input_tokens_1: ['a', '[', '1', ']']
2022-10-21 00:13:45.809 317:isInGraph              INFO   input_ids_1: 82 86
2022-10-21 00:13:45.809 324:isInGraph              INFO   input_tokens_reverse_1: 0 '; Ċ Ġ
2022-10-21 00:13:45.809 334:isInGraph              INFO   input_tokens_2: ['a', '[', '0', ']', '_*', '_10']
2022-10-21 00:13:45.809 342:isInGraph              INFO   input_ids_2: 136 142
2022-10-21 00:13:45.809 349:isInGraph              INFO   input_tokens_reverse_2: Ġelse Ġ{ Ċ Ġ Ġ Ġ
2022-10-21 00:13:45.809 306:isInGraph              INFO   *** Example ***
2022-10-21 00:13:45.809 307:isInGraph              INFO   idx: 51095
2022-10-21 00:13:45.809 308:isInGraph              INFO   label: 0
2022-10-21 00:13:45.809 309:isInGraph              INFO   input_tokens_1: ['1']
2022-10-21 00:13:45.810 317:isInGraph              INFO   input_ids_1: 35 36
2022-10-21 00:13:45.810 324:isInGraph              INFO   input_tokens_reverse_1: Ġ0
2022-10-21 00:13:45.810 334:isInGraph              INFO   input_tokens_2: ['i']
2022-10-21 00:13:45.810 342:isInGraph              INFO   input_ids_2: 130 131
2022-10-21 00:13:45.810 349:isInGraph              INFO   input_tokens_reverse_2: Ċ
2022-10-21 00:13:45.810 306:isInGraph              INFO   *** Example ***
2022-10-21 00:13:45.810 307:isInGraph              INFO   idx: 50921
2022-10-21 00:13:45.810 308:isInGraph              INFO   label: 0
2022-10-21 00:13:45.810 309:isInGraph              INFO   input_tokens_1: ['k', '++']
2022-10-21 00:13:45.810 317:isInGraph              INFO   input_ids_1: 213 215
2022-10-21 00:13:45.810 324:isInGraph              INFO   input_tokens_reverse_1: Ġ{ Ċ
2022-10-21 00:13:45.810 334:isInGraph              INFO   input_tokens_2: ['i']
2022-10-21 00:13:45.811 342:isInGraph              INFO   input_ids_2: 147 148
2022-10-21 00:13:45.811 349:isInGraph              INFO   input_tokens_reverse_2: Ġ
2022-10-21 00:13:45.811 306:isInGraph              INFO   *** Example ***
2022-10-21 00:13:45.811 307:isInGraph              INFO   idx: 43765
2022-10-21 00:13:45.811 308:isInGraph              INFO   label: 1
2022-10-21 00:13:45.811 309:isInGraph              INFO   input_tokens_1: ['*', 'p', '_!=', "_'", '\\', '0', "'"]
2022-10-21 00:13:45.811 317:isInGraph              INFO   input_ids_1: 68 75
2022-10-21 00:13:45.811 324:isInGraph              INFO   input_tokens_reverse_1: Ġ57 ) Ġ{ Ċ Ġ Ġ Ġ
2022-10-21 00:13:45.811 334:isInGraph              INFO   input_tokens_2: ['*', 'p']
2022-10-21 00:13:45.811 342:isInGraph              INFO   input_ids_2: 92 94
2022-10-21 00:13:45.811 349:isInGraph              INFO   input_tokens_reverse_2: Ġ Ġ
2022-10-21 00:13:45.811 306:isInGraph              INFO   *** Example ***
2022-10-21 00:13:45.811 307:isInGraph              INFO   idx: 47355
2022-10-21 00:13:45.812 308:isInGraph              INFO   label: 1
2022-10-21 00:13:45.812 309:isInGraph              INFO   input_tokens_1: ['s', '2', '[', 'i', ']']
2022-10-21 00:13:45.812 317:isInGraph              INFO   input_ids_1: 95 100
2022-10-21 00:13:45.812 324:isInGraph              INFO   input_tokens_reverse_1: Ġ Ġ Ġ Ġ Ġs
2022-10-21 00:13:45.812 334:isInGraph              INFO   input_tokens_2: ['s', '1', '[', 'i', ']', '_&&', '_s', '2', '[', 'i', ']']
2022-10-21 00:13:45.812 342:isInGraph              INFO   input_ids_2: 43 54
2022-10-21 00:13:45.812 349:isInGraph              INFO   input_tokens_reverse_2: 2 ); Ċ Ġ Ġfor Ġ( i Ġ= Ġ0 ; Ġs
2022-10-21 00:13:45.812 306:isInGraph              INFO   *** Example ***
2022-10-21 00:13:45.812 307:isInGraph              INFO   idx: 42267
2022-10-21 00:13:45.812 308:isInGraph              INFO   label: 1
2022-10-21 00:13:45.813 309:isInGraph              INFO   input_tokens_1: ['s', 'z', 'p', 'and', '[', 'i', '][', '0', ']', '_==', "_'", '0', "'", '_||', '_s', 'z', 'p', 'and', '[', 'i', '][', '0', ']', '_==', "_'", '1', "'"]
2022-10-21 00:13:45.813 317:isInGraph              INFO   input_ids_1: 82 109
2022-10-21 00:13:45.813 324:isInGraph              INFO   input_tokens_reverse_1: Ġ( i Ġ= Ġ0 ; Ġi Ġ< Ġn ; Ġi ++) Ġ{ Ċ Ġ Ġ Ġ Ġflag Ġ= Ġ1 ; Ċ Ġ Ġ Ġ Ġif Ġ( s
2022-10-21 00:13:45.813 334:isInGraph              INFO   input_tokens_2: ['a', '_>=', '_58', '_&&', '_a', '_<=', '_64']
2022-10-21 00:13:45.813 342:isInGraph              INFO   input_ids_2: 279 286
2022-10-21 00:13:45.813 349:isInGraph              INFO   input_tokens_reverse_2: Ġc ++) Ġ{ Ċ Ġ Ġ Ġ
2022-10-21 00:13:45.813 306:isInGraph              INFO   *** Example ***
2022-10-21 00:13:45.813 307:isInGraph              INFO   idx: 45671
2022-10-21 00:13:45.813 308:isInGraph              INFO   label: 0
2022-10-21 00:13:45.813 309:isInGraph              INFO   input_tokens_1: ['a', '[', 'i', ']']
2022-10-21 00:13:45.813 317:isInGraph              INFO   input_ids_1: 73 77
2022-10-21 00:13:45.814 324:isInGraph              INFO   input_tokens_reverse_1: Ġ Ġ Ġif Ġ(
2022-10-21 00:13:45.814 334:isInGraph              INFO   input_tokens_2: ['w']
2022-10-21 00:13:45.814 342:isInGraph              INFO   input_ids_2: 430 431
2022-10-21 00:13:45.814 349:isInGraph              INFO   input_tokens_reverse_2: Ġ
2022-10-21 00:13:45.814 306:isInGraph              INFO   *** Example ***
2022-10-21 00:13:45.814 307:isInGraph              INFO   idx: 51601
2022-10-21 00:13:45.814 308:isInGraph              INFO   label: 1
2022-10-21 00:13:45.814 309:isInGraph              INFO   input_tokens_1: ['c', 'out', '_<<', '_a', '[', 'i', ']']
2022-10-21 00:13:45.814 317:isInGraph              INFO   input_ids_1: 200 206
2022-10-21 00:13:45.814 324:isInGraph              INFO   input_tokens_reverse_1: Ċ Ġ Ġsh u ( a
2022-10-21 00:13:45.814 334:isInGraph              INFO   input_tokens_2: ['a', '[', 'i', ']', '_>', '_0']
2022-10-21 00:13:45.815 342:isInGraph              INFO   input_ids_2: 192 198
2022-10-21 00:13:45.815 349:isInGraph              INFO   input_tokens_reverse_2: Ġ Ġc in Ġ>> Ġb [
2022-10-21 00:13:45.815 306:isInGraph              INFO   *** Example ***
2022-10-21 00:13:45.815 307:isInGraph              INFO   idx: 41469
2022-10-21 00:13:45.815 308:isInGraph              INFO   label: 1
2022-10-21 00:13:45.815 309:isInGraph              INFO   input_tokens_1: ['c', '[', 'i', ']', '_=', '_3', '.', '7']
2022-10-21 00:13:45.815 317:isInGraph              INFO   input_ids_1: 264 272
2022-10-21 00:13:45.815 324:isInGraph              INFO   input_tokens_reverse_1: i ] Ġ= Ġ2 . 3 ; Ċ
2022-10-21 00:13:45.815 334:isInGraph              INFO   input_tokens_2: ['c', '[', 'i', ']', '_=', '_3', '.', '3']
2022-10-21 00:13:45.815 342:isInGraph              INFO   input_ids_2: 245 253
2022-10-21 00:13:45.815 349:isInGraph              INFO   input_tokens_reverse_2: Ġ Ġelse Ġif Ġ( a [ i ]
2022-10-21 00:13:45.815 978:isIngraph              INFO   Finishing loading Dataset
2022-10-21 00:13:45.837 987:isIngraph              INFO   Probimg Model Parameters 3843
2022-10-21 00:13:45.837 988:isIngraph              INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, class_num=2, config_name='microsoft/graphcodebert-base', data_folder='../datasets/poj-104/isINGraphs/exp1', dataset='poj-104', debug=False, device=device(type='cuda'), do_crossing='cleaned', do_eval=False, do_random=False, do_test=True, do_train=True, epochs=1, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='cdg', layer=0, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='graphcodebert', model_name_or_path='microsoft/graphcodebert-base', n_gpu=1, output_dir='../isInGraph/poj/plm/saved_graphcodebertmodels/2/cdg_0', posratio=0.5, seed=610, token_config='microsoft/graphcodebert-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2022-10-21 00:13:47.072 451:isIngraph              INFO   ***** Running training *****
2022-10-21 00:13:47.072 452:isIngraph              INFO     Num examples = 87858
2022-10-21 00:13:47.072 453:isIngraph              INFO     Num Epochs = 1
2022-10-21 00:13:47.072 454:isIngraph              INFO     Instantaneous batch size per GPU = 64
2022-10-21 00:13:47.072 458:isIngraph              INFO     Total train batch size = 64
2022-10-21 00:13:47.073 462:isIngraph              INFO     Gradient Accumulation steps = 1
2022-10-21 00:13:47.073 465:isIngraph              INFO     Total optimization steps = 1373
2022-10-21 00:13:54.049 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-21 00:13:54.049 581:isIngraph              INFO     Num examples = 29252
2022-10-21 00:13:54.049 582:isIngraph              INFO     Batch size = 32
2022-10-21 00:14:16.449 627:isIngraph              INFO   ***** Eval results *****
2022-10-21 00:14:16.450 629:isIngraph              INFO     eval_acc = 0.8843
2022-10-21 00:14:16.450 629:isIngraph              INFO     eval_f1 = 0.894
2022-10-21 00:14:16.450 629:isIngraph              INFO     eval_mcc = 0.7818
2022-10-21 00:14:16.450 629:isIngraph              INFO     eval_precision = 0.8248
2022-10-21 00:14:16.450 629:isIngraph              INFO     eval_recall = 0.9758
2022-10-21 00:14:16.450 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-21 00:14:16.450 522:isIngraph              INFO     ********************
2022-10-21 00:14:16.450 523:isIngraph              INFO     Best f1:0.894
2022-10-21 00:14:16.450 524:isIngraph              INFO     ********************
2022-10-21 00:14:16.452 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/plm/saved_graphcodebertmodels/2/cdg_0/checkpoint-best-f1/model.bin
2022-10-21 00:14:16.452 544:isIngraph              INFO     ********************
2022-10-21 00:14:16.452 545:isIngraph              INFO     Best MCC:0.7818
2022-10-21 00:14:16.452 546:isIngraph              INFO     ********************
2022-10-21 00:14:16.453 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/plm/saved_graphcodebertmodels/2/cdg_0/checkpoint-best-mcc/model.bin
2022-10-21 00:14:23.125 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-21 00:14:23.125 581:isIngraph              INFO     Num examples = 29252
2022-10-21 00:14:23.126 582:isIngraph              INFO     Batch size = 32
2022-10-21 00:14:45.933 627:isIngraph              INFO   ***** Eval results *****
2022-10-21 00:14:45.933 629:isIngraph              INFO     eval_acc = 0.9186
2022-10-21 00:14:45.933 629:isIngraph              INFO     eval_f1 = 0.9234
2022-10-21 00:14:45.933 629:isIngraph              INFO     eval_mcc = 0.844
2022-10-21 00:14:45.934 629:isIngraph              INFO     eval_precision = 0.8716
2022-10-21 00:14:45.934 629:isIngraph              INFO     eval_recall = 0.9818
2022-10-21 00:14:45.934 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-21 00:14:45.934 522:isIngraph              INFO     ********************
2022-10-21 00:14:45.934 523:isIngraph              INFO     Best f1:0.9234
2022-10-21 00:14:45.934 524:isIngraph              INFO     ********************
2022-10-21 00:14:45.935 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/plm/saved_graphcodebertmodels/2/cdg_0/checkpoint-best-f1/model.bin
2022-10-21 00:14:45.935 544:isIngraph              INFO     ********************
2022-10-21 00:14:45.935 545:isIngraph              INFO     Best MCC:0.844
2022-10-21 00:14:45.935 546:isIngraph              INFO     ********************
2022-10-21 00:14:45.936 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/plm/saved_graphcodebertmodels/2/cdg_0/checkpoint-best-mcc/model.bin
2022-10-21 00:14:52.699 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-21 00:14:52.699 581:isIngraph              INFO     Num examples = 29252
2022-10-21 00:14:52.699 582:isIngraph              INFO     Batch size = 32
2022-10-21 00:15:14.813 627:isIngraph              INFO   ***** Eval results *****
2022-10-21 00:15:14.813 629:isIngraph              INFO     eval_acc = 0.9361
2022-10-21 00:15:14.813 629:isIngraph              INFO     eval_f1 = 0.9386
2022-10-21 00:15:14.813 629:isIngraph              INFO     eval_mcc = 0.8752
2022-10-21 00:15:14.813 629:isIngraph              INFO     eval_precision = 0.9024
2022-10-21 00:15:14.813 629:isIngraph              INFO     eval_recall = 0.9778
2022-10-21 00:15:14.813 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-21 00:15:14.814 522:isIngraph              INFO     ********************
2022-10-21 00:15:14.814 523:isIngraph              INFO     Best f1:0.9386
2022-10-21 00:15:14.814 524:isIngraph              INFO     ********************
2022-10-21 00:15:14.815 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/plm/saved_graphcodebertmodels/2/cdg_0/checkpoint-best-f1/model.bin
2022-10-21 00:15:14.815 544:isIngraph              INFO     ********************
2022-10-21 00:15:14.815 545:isIngraph              INFO     Best MCC:0.8752
2022-10-21 00:15:14.815 546:isIngraph              INFO     ********************
2022-10-21 00:15:14.815 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/plm/saved_graphcodebertmodels/2/cdg_0/checkpoint-best-mcc/model.bin
2022-10-21 00:15:21.507 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-21 00:15:21.507 581:isIngraph              INFO     Num examples = 29252
2022-10-21 00:15:21.507 582:isIngraph              INFO     Batch size = 32
2022-10-21 00:15:44.357 627:isIngraph              INFO   ***** Eval results *****
2022-10-21 00:15:44.358 629:isIngraph              INFO     eval_acc = 0.9404
2022-10-21 00:15:44.358 629:isIngraph              INFO     eval_f1 = 0.9427
2022-10-21 00:15:44.358 629:isIngraph              INFO     eval_mcc = 0.8837
2022-10-21 00:15:44.358 629:isIngraph              INFO     eval_precision = 0.9069
2022-10-21 00:15:44.358 629:isIngraph              INFO     eval_recall = 0.9815
2022-10-21 00:15:44.358 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-21 00:15:44.358 522:isIngraph              INFO     ********************
2022-10-21 00:15:44.358 523:isIngraph              INFO     Best f1:0.9427
2022-10-21 00:15:44.358 524:isIngraph              INFO     ********************
2022-10-21 00:15:44.359 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/plm/saved_graphcodebertmodels/2/cdg_0/checkpoint-best-f1/model.bin
2022-10-21 00:15:44.359 544:isIngraph              INFO     ********************
2022-10-21 00:15:44.359 545:isIngraph              INFO     Best MCC:0.8837
2022-10-21 00:15:44.360 546:isIngraph              INFO     ********************
2022-10-21 00:15:44.360 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/plm/saved_graphcodebertmodels/2/cdg_0/checkpoint-best-mcc/model.bin
2022-10-21 00:15:50.809 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-21 00:15:50.809 581:isIngraph              INFO     Num examples = 29252
2022-10-21 00:15:50.809 582:isIngraph              INFO     Batch size = 32
2022-10-21 00:16:13.162 627:isIngraph              INFO   ***** Eval results *****
2022-10-21 00:16:13.162 629:isIngraph              INFO     eval_acc = 0.9436
2022-10-21 00:16:13.162 629:isIngraph              INFO     eval_f1 = 0.9459
2022-10-21 00:16:13.162 629:isIngraph              INFO     eval_mcc = 0.8904
2022-10-21 00:16:13.162 629:isIngraph              INFO     eval_precision = 0.9091
2022-10-21 00:16:13.162 629:isIngraph              INFO     eval_recall = 0.9858
2022-10-21 00:16:13.162 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-21 00:16:13.163 522:isIngraph              INFO     ********************
2022-10-21 00:16:13.163 523:isIngraph              INFO     Best f1:0.9459
2022-10-21 00:16:13.163 524:isIngraph              INFO     ********************
2022-10-21 00:16:13.164 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/plm/saved_graphcodebertmodels/2/cdg_0/checkpoint-best-f1/model.bin
2022-10-21 00:16:13.164 544:isIngraph              INFO     ********************
2022-10-21 00:16:13.164 545:isIngraph              INFO     Best MCC:0.8904
2022-10-21 00:16:13.164 546:isIngraph              INFO     ********************
2022-10-21 00:16:13.164 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/plm/saved_graphcodebertmodels/2/cdg_0/checkpoint-best-mcc/model.bin
2022-10-21 00:16:19.954 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-21 00:16:19.954 581:isIngraph              INFO     Num examples = 29252
2022-10-21 00:16:19.954 582:isIngraph              INFO     Batch size = 32
2022-10-21 00:16:42.542 627:isIngraph              INFO   ***** Eval results *****
2022-10-21 00:16:42.542 629:isIngraph              INFO     eval_acc = 0.9454
