2022-10-11 23:49:21.027 917:isIngraph              DEBUG  main message
2022-10-11 23:49:21.027 923:isIngraph              WARNING device: cuda, n_gpu: 1
2022-10-11 23:49:28.850 938:isIngraph              INFO   Load Dataset
2022-10-11 23:50:05.166 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/codebert/codebert_train_cdg_cleaned.pt
2022-10-11 23:50:07.409 301:isInGraph              INFO   Labels Counter({0: 43929, 1: 43929})
2022-10-11 23:50:07.427 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/codebert/codebert_valid_cdg_cleaned.pt
2022-10-11 23:50:08.442 301:isInGraph              INFO   Labels Counter({0: 14626, 1: 14626})
2022-10-11 23:50:08.457 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/codebert/codebert_test_cdg_cleaned.pt
2022-10-11 23:50:09.778 301:isInGraph              INFO   Labels Counter({1: 15161, 0: 15161})
2022-10-11 23:50:09.779 306:isInGraph              INFO   *** Example ***
2022-10-11 23:50:09.779 307:isInGraph              INFO   idx: 49896
2022-10-11 23:50:09.779 308:isInGraph              INFO   label: 0
2022-10-11 23:50:09.781 309:isInGraph              INFO   input_tokens_1: ['i', '++']
2022-10-11 23:50:09.781 317:isInGraph              INFO   input_ids_1: 47 49
2022-10-11 23:50:09.781 324:isInGraph              INFO   input_tokens_reverse_1: Ġi ++)
2022-10-11 23:50:09.781 334:isInGraph              INFO   input_tokens_2: ['0']
2022-10-11 23:50:09.781 342:isInGraph              INFO   input_ids_2: 19 20
2022-10-11 23:50:09.781 349:isInGraph              INFO   input_tokens_reverse_2: Ġ0
2022-10-11 23:50:09.781 306:isInGraph              INFO   *** Example ***
2022-10-11 23:50:09.781 307:isInGraph              INFO   idx: 44947
2022-10-11 23:50:09.781 308:isInGraph              INFO   label: 0
2022-10-11 23:50:09.782 309:isInGraph              INFO   input_tokens_1: ['return', '_(', 'p', ');']
2022-10-11 23:50:09.782 317:isInGraph              INFO   input_ids_1: 206 210
2022-10-11 23:50:09.782 324:isInGraph              INFO   input_tokens_reverse_1: Ġreturn Ġ( p );
2022-10-11 23:50:09.782 334:isInGraph              INFO   input_tokens_2: ['m', '_-', '_n']
2022-10-11 23:50:09.782 342:isInGraph              INFO   input_ids_2: 236 239
2022-10-11 23:50:09.782 349:isInGraph              INFO   input_tokens_reverse_2: m Ġ- Ġn
2022-10-11 23:50:09.782 306:isInGraph              INFO   *** Example ***
2022-10-11 23:50:09.782 307:isInGraph              INFO   idx: 47959
2022-10-11 23:50:09.782 308:isInGraph              INFO   label: 0
2022-10-11 23:50:09.782 309:isInGraph              INFO   input_tokens_1: ['i', '_=', '_0']
2022-10-11 23:50:09.782 317:isInGraph              INFO   input_ids_1: 31 34
2022-10-11 23:50:09.783 324:isInGraph              INFO   input_tokens_reverse_1: i Ġ= Ġ0
2022-10-11 23:50:09.783 334:isInGraph              INFO   input_tokens_2: ["'", '0', "'"]
2022-10-11 23:50:09.783 342:isInGraph              INFO   input_ids_2: 77 80
