2022-10-12 02:06:58.768 917:isIngraph              DEBUG  main message
2022-10-12 02:06:58.769 923:isIngraph              WARNING device: cuda, n_gpu: 1
2022-10-12 02:07:06.395 938:isIngraph              INFO   Load Dataset
2022-10-12 02:07:43.664 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/codebert/codebert_train_ddg_cleaned.pt
2022-10-12 02:07:46.470 301:isInGraph              INFO   Labels Counter({1: 54318, 0: 54318})
2022-10-12 02:07:46.490 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/codebert/codebert_valid_ddg_cleaned.pt
2022-10-12 02:07:47.775 301:isInGraph              INFO   Labels Counter({0: 18321, 1: 18321})
2022-10-12 02:07:47.790 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/codebert/codebert_test_ddg_cleaned.pt
2022-10-12 02:07:49.449 301:isInGraph              INFO   Labels Counter({0: 18187, 1: 18187})
2022-10-12 02:07:49.449 306:isInGraph              INFO   *** Example ***
2022-10-12 02:07:49.449 307:isInGraph              INFO   idx: 42021
2022-10-12 02:07:49.449 308:isInGraph              INFO   label: 1
2022-10-12 02:07:49.451 309:isInGraph              INFO   input_tokens_1: ['j', '++']
2022-10-12 02:07:49.451 317:isInGraph              INFO   input_ids_1: 148 150
2022-10-12 02:07:49.451 324:isInGraph              INFO   input_tokens_reverse_1: Ġj ++)
2022-10-12 02:07:49.452 334:isInGraph              INFO   input_tokens_2: ['!', '(', 'c', '[', 'i', '][', '0', ']', '_==', "_'", '_', "'", '_||', '_(', 'c', '[', 'i', '][', '0', ']', '_>=', "_'", 'A', "'", '_&&', '_c', '[', 'i', '][', '0', ']', '_<=', "_'", 'Z', "')", '_||', '_(', 'c', '[', 'i', '][', '0', ']', '_>=', "_'", 'a', "'", '_&&', '_c', '[', 'i', '][', '0', ']', '_<=', "_'", 'z', "'", '))']
2022-10-12 02:07:49.452 342:isInGraph              INFO   input_ids_2: 70 129
2022-10-12 02:07:49.452 349:isInGraph              INFO   input_tokens_reverse_2: Ġ(! ( c [ i ][ 0 ] Ġ== Ġ' _ ' Ġ|| Ġ( c [ i ][ 0 ] Ġ>= Ġ' A ' Ġ&& Ġc [ i ][ 0 ] Ġ<= Ġ' Z ') Ġ|| Ġ( c [ i ][ 0 ] Ġ>= Ġ' a ' Ġ&& Ġc [ i ][ 0 ] Ġ<= Ġ' z ' )))
2022-10-12 02:07:49.452 306:isInGraph              INFO   *** Example ***
2022-10-12 02:07:49.452 307:isInGraph              INFO   idx: 48927
2022-10-12 02:07:49.452 308:isInGraph              INFO   label: 0
2022-10-12 02:07:49.452 309:isInGraph              INFO   input_tokens_1: ['"', '\\', 'n', '%', 's', '"']
2022-10-12 02:07:49.452 317:isInGraph              INFO   input_ids_1: 98 104
2022-10-12 02:07:49.452 324:isInGraph              INFO   input_tokens_reverse_1: (" \ n % s ",
2022-10-12 02:07:49.452 334:isInGraph              INFO   input_tokens_2: ['"', '%', 'd', '"']
2022-10-12 02:07:49.452 342:isInGraph              INFO   input_ids_2: 23 27
2022-10-12 02:07:49.453 349:isInGraph              INFO   input_tokens_reverse_2: (" % d ",
2022-10-12 02:07:49.453 306:isInGraph              INFO   *** Example ***
2022-10-12 02:07:49.453 307:isInGraph              INFO   idx: 40362
2022-10-12 02:07:49.453 308:isInGraph              INFO   label: 0
2022-10-12 02:07:49.453 309:isInGraph              INFO   input_tokens_1: ['n']
2022-10-12 02:07:49.453 317:isInGraph              INFO   input_ids_1: 93 94
2022-10-12 02:07:49.453 324:isInGraph              INFO   input_tokens_reverse_1: Ġn
2022-10-12 02:07:49.453 334:isInGraph              INFO   input_tokens_2: ['m']
2022-10-12 02:07:49.453 342:isInGraph              INFO   input_ids_2: 261 262
2022-10-12 02:07:49.453 349:isInGraph              INFO   input_tokens_reverse_2: m
2022-10-12 02:07:49.453 306:isInGraph              INFO   *** Example ***
2022-10-12 02:07:49.453 307:isInGraph              INFO   idx: 41115
2022-10-12 02:07:49.453 308:isInGraph              INFO   label: 0
2022-10-12 02:07:49.454 309:isInGraph              INFO   input_tokens_1: ['x']
2022-10-12 02:07:49.454 317:isInGraph              INFO   input_ids_1: 142 143
2022-10-12 02:07:49.454 324:isInGraph              INFO   input_tokens_reverse_1: Ġx
2022-10-12 02:07:49.454 334:isInGraph              INFO   input_tokens_2: ['x', '[', 'i', ']', '_<=', '_74']
2022-10-12 02:07:49.454 342:isInGraph              INFO   input_ids_2: 296 302
2022-10-12 02:07:49.454 349:isInGraph              INFO   input_tokens_reverse_2: x [ i ] Ġ<= Ġ74
2022-10-12 02:07:49.454 306:isInGraph              INFO   *** Example ***
2022-10-12 02:07:49.454 307:isInGraph              INFO   idx: 49944
2022-10-12 02:07:49.454 308:isInGraph              INFO   label: 0
2022-10-12 02:07:49.454 309:isInGraph              INFO   input_tokens_1: ['65']
2022-10-12 02:07:49.454 317:isInGraph              INFO   input_ids_1: 235 236
2022-10-12 02:07:49.454 324:isInGraph              INFO   input_tokens_reverse_1: Ġ65
2022-10-12 02:07:49.455 334:isInGraph              INFO   input_tokens_2: ['for', '_(', 'i', '_=', '_97', ';', '_i', '_<=', '_122', ';', '_i', '++)']
2022-10-12 02:07:49.455 342:isInGraph              INFO   input_ids_2: 99 111
2022-10-12 02:07:49.455 349:isInGraph              INFO   input_tokens_reverse_2: Ġfor Ġ( i Ġ= Ġ97 ; Ġi Ġ<= Ġ122 ; Ġi ++)
2022-10-12 02:07:49.455 306:isInGraph              INFO   *** Example ***
2022-10-12 02:07:49.455 307:isInGraph              INFO   idx: 46511
2022-10-12 02:07:49.455 308:isInGraph              INFO   label: 1
2022-10-12 02:07:49.455 309:isInGraph              INFO   input_tokens_1: ['m', '_+', '_1']
2022-10-12 02:07:49.455 317:isInGraph              INFO   input_ids_1: 144 147
2022-10-12 02:07:49.455 324:isInGraph              INFO   input_tokens_reverse_1: m Ġ+ Ġ1
2022-10-12 02:07:49.455 334:isInGraph              INFO   input_tokens_2: ['m', '++']
2022-10-12 02:07:49.455 342:isInGraph              INFO   input_ids_2: 121 123
2022-10-12 02:07:49.456 349:isInGraph              INFO   input_tokens_reverse_2: Ġm ++)
2022-10-12 02:07:49.456 306:isInGraph              INFO   *** Example ***
2022-10-12 02:07:49.456 307:isInGraph              INFO   idx: 49317
2022-10-12 02:07:49.456 308:isInGraph              INFO   label: 0
2022-10-12 02:07:49.456 309:isInGraph              INFO   input_tokens_1: ['c']
2022-10-12 02:07:49.456 317:isInGraph              INFO   input_ids_1: 18 19
2022-10-12 02:07:49.456 324:isInGraph              INFO   input_tokens_reverse_1: Ġc
2022-10-12 02:07:49.456 334:isInGraph              INFO   input_tokens_2: ['a']
2022-10-12 02:07:49.456 342:isInGraph              INFO   input_ids_2: 64 65
2022-10-12 02:07:49.456 349:isInGraph              INFO   input_tokens_reverse_2: Ġa
2022-10-12 02:07:49.456 306:isInGraph              INFO   *** Example ***
2022-10-12 02:07:49.456 307:isInGraph              INFO   idx: 48239
2022-10-12 02:07:49.456 308:isInGraph              INFO   label: 0
2022-10-12 02:07:49.457 309:isInGraph              INFO   input_tokens_1: ['if', '_(', 'p', '_<', '_5', ')']
2022-10-12 02:07:49.457 317:isInGraph              INFO   input_ids_1: 157 163
2022-10-12 02:07:49.457 324:isInGraph              INFO   input_tokens_reverse_1: Ġif Ġ( p Ġ< Ġ5 )
2022-10-12 02:07:49.457 334:isInGraph              INFO   input_tokens_2: ['ten', '_=', '_0']
2022-10-12 02:07:49.457 342:isInGraph              INFO   input_ids_2: 129 132
2022-10-12 02:07:49.457 349:isInGraph              INFO   input_tokens_reverse_2: Ġten Ġ= Ġ0
2022-10-12 02:07:49.457 306:isInGraph              INFO   *** Example ***
2022-10-12 02:07:49.457 307:isInGraph              INFO   idx: 43384
2022-10-12 02:07:49.457 308:isInGraph              INFO   label: 0
2022-10-12 02:07:49.457 309:isInGraph              INFO   input_tokens_1: ['0']
2022-10-12 02:07:49.457 317:isInGraph              INFO   input_ids_1: 99 100
2022-10-12 02:07:49.457 324:isInGraph              INFO   input_tokens_reverse_1: Ġ0
2022-10-12 02:07:49.458 334:isInGraph              INFO   input_tokens_2: ['(', 'a', '_==', '_0', ')', '_&&', '_(', 'b', '_==', '_0', ')', '_&&', '_(', 'c', '_==', '_0', ')', '_&&', '_(', 'd', '_==', '_0', ')', '_&&', '_(', 'e', '_==', '_0', ')']
2022-10-12 02:07:49.458 342:isInGraph              INFO   input_ids_2: 66 95
2022-10-12 02:07:49.458 349:isInGraph              INFO   input_tokens_reverse_2: Ġ(( a Ġ== Ġ0 ) Ġ&& Ġ( b Ġ== Ġ0 ) Ġ&& Ġ( c Ġ== Ġ0 ) Ġ&& Ġ( d Ġ== Ġ0 ) Ġ&& Ġ( e Ġ== Ġ0 )
2022-10-12 02:07:49.458 978:isIngraph              INFO   Finishing loading Dataset
2022-10-12 02:07:49.478 987:isIngraph              INFO   Probimg Model Parameters 3843
2022-10-12 02:07:49.479 988:isIngraph              INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, class_num=2, config_name='microsoft/codebert-base', data_folder='../datasets/poj-104/isINGraphs/exp1', dataset='poj-104', debug=False, device=device(type='cuda'), do_crossing='cleaned', do_eval=False, do_random=True, do_test=True, do_train=True, epochs=1, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ddg', layer=2, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='codebert', model_name_or_path='microsoft/codebert-base', n_gpu=1, output_dir='../isInGraph/poj/random/saved_codebertmodels/4/ddg_layer_2', posratio=0.5, seed=307, token_config='microsoft/codebert-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2022-10-12 02:07:50.241 451:isIngraph              INFO   ***** Running training *****
2022-10-12 02:07:50.241 452:isIngraph              INFO     Num examples = 108636
2022-10-12 02:07:50.241 453:isIngraph              INFO     Num Epochs = 1
2022-10-12 02:07:50.241 454:isIngraph              INFO     Instantaneous batch size per GPU = 64
2022-10-12 02:07:50.241 458:isIngraph              INFO     Total train batch size = 64
2022-10-12 02:07:50.241 462:isIngraph              INFO     Gradient Accumulation steps = 1
2022-10-12 02:07:50.241 465:isIngraph              INFO     Total optimization steps = 1698
2022-10-12 02:07:56.510 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-12 02:07:56.510 581:isIngraph              INFO     Num examples = 36642
2022-10-12 02:07:56.510 582:isIngraph              INFO     Batch size = 32
2022-10-12 02:08:15.709 627:isIngraph              INFO   ***** Eval results *****
2022-10-12 02:08:15.710 629:isIngraph              INFO     eval_acc = 0.7934
2022-10-12 02:08:15.710 629:isIngraph              INFO     eval_f1 = 0.7827
2022-10-12 02:08:15.710 629:isIngraph              INFO     eval_mcc = 0.5897
2022-10-12 02:08:15.710 629:isIngraph              INFO     eval_precision = 0.8255
2022-10-12 02:08:15.710 629:isIngraph              INFO     eval_recall = 0.7442
2022-10-12 02:08:15.710 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-12 02:08:15.710 522:isIngraph              INFO     ********************
2022-10-12 02:08:15.710 523:isIngraph              INFO     Best f1:0.7827
2022-10-12 02:08:15.710 524:isIngraph              INFO     ********************
2022-10-12 02:08:15.711 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/random/saved_codebertmodels/4/ddg_layer_2/checkpoint-best-f1/model.bin
2022-10-12 02:08:15.711 544:isIngraph              INFO     ********************
2022-10-12 02:08:15.711 545:isIngraph              INFO     Best MCC:0.5897
2022-10-12 02:08:15.711 546:isIngraph              INFO     ********************
2022-10-12 02:08:15.712 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/random/saved_codebertmodels/4/ddg_layer_2/checkpoint-best-mcc/model.bin
2022-10-12 02:08:21.680 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-12 02:08:21.681 581:isIngraph              INFO     Num examples = 36642
2022-10-12 02:08:21.681 582:isIngraph              INFO     Batch size = 32
2022-10-12 02:08:41.562 627:isIngraph              INFO   ***** Eval results *****
2022-10-12 02:08:41.562 629:isIngraph              INFO     eval_acc = 0.8823
2022-10-12 02:08:41.563 629:isIngraph              INFO     eval_f1 = 0.8905
2022-10-12 02:08:41.563 629:isIngraph              INFO     eval_mcc = 0.7732
2022-10-12 02:08:41.563 629:isIngraph              INFO     eval_precision = 0.8331
2022-10-12 02:08:41.563 629:isIngraph              INFO     eval_recall = 0.9563
2022-10-12 02:08:41.563 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-12 02:08:41.563 522:isIngraph              INFO     ********************
2022-10-12 02:08:41.563 523:isIngraph              INFO     Best f1:0.8905
2022-10-12 02:08:41.563 524:isIngraph              INFO     ********************
2022-10-12 02:08:41.564 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/random/saved_codebertmodels/4/ddg_layer_2/checkpoint-best-f1/model.bin
2022-10-12 02:08:41.564 544:isIngraph              INFO     ********************
2022-10-12 02:08:41.564 545:isIngraph              INFO     Best MCC:0.7732
2022-10-12 02:08:41.564 546:isIngraph              INFO     ********************
2022-10-12 02:08:41.565 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/random/saved_codebertmodels/4/ddg_layer_2/checkpoint-best-mcc/model.bin
2022-10-12 02:08:47.578 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-12 02:08:47.578 581:isIngraph              INFO     Num examples = 36642
2022-10-12 02:08:47.578 582:isIngraph              INFO     Batch size = 32
2022-10-12 02:09:07.471 627:isIngraph              INFO   ***** Eval results *****
2022-10-12 02:09:07.472 629:isIngraph              INFO     eval_acc = 0.9155
2022-10-12 02:09:07.472 629:isIngraph              INFO     eval_f1 = 0.92
2022-10-12 02:09:07.472 629:isIngraph              INFO     eval_mcc = 0.8364
2022-10-12 02:09:07.472 629:isIngraph              INFO     eval_precision = 0.8729
2022-10-12 02:09:07.472 629:isIngraph              INFO     eval_recall = 0.9724
2022-10-12 02:09:07.472 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-12 02:09:07.472 522:isIngraph              INFO     ********************
2022-10-12 02:09:07.472 523:isIngraph              INFO     Best f1:0.92
2022-10-12 02:09:07.472 524:isIngraph              INFO     ********************
2022-10-12 02:09:07.473 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/random/saved_codebertmodels/4/ddg_layer_2/checkpoint-best-f1/model.bin
2022-10-12 02:09:07.473 544:isIngraph              INFO     ********************
2022-10-12 02:09:07.473 545:isIngraph              INFO     Best MCC:0.8364
2022-10-12 02:09:07.473 546:isIngraph              INFO     ********************
2022-10-12 02:09:07.474 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/random/saved_codebertmodels/4/ddg_layer_2/checkpoint-best-mcc/model.bin
2022-10-12 02:09:13.452 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-12 02:09:13.452 581:isIngraph              INFO     Num examples = 36642
2022-10-12 02:09:13.452 582:isIngraph              INFO     Batch size = 32
2022-10-12 02:09:33.359 627:isIngraph              INFO   ***** Eval results *****
2022-10-12 02:09:33.359 629:isIngraph              INFO     eval_acc = 0.9423
2022-10-12 02:09:33.360 629:isIngraph              INFO     eval_f1 = 0.9429
2022-10-12 02:09:33.360 629:isIngraph              INFO     eval_mcc = 0.8847
2022-10-12 02:09:33.360 629:isIngraph              INFO     eval_precision = 0.9326
2022-10-12 02:09:33.360 629:isIngraph              INFO     eval_recall = 0.9534
2022-10-12 02:09:33.360 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-12 02:09:33.360 522:isIngraph              INFO     ********************
2022-10-12 02:09:33.360 523:isIngraph              INFO     Best f1:0.9429
2022-10-12 02:09:33.360 524:isIngraph              INFO     ********************
2022-10-12 02:09:33.361 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/random/saved_codebertmodels/4/ddg_layer_2/checkpoint-best-f1/model.bin
2022-10-12 02:09:33.361 544:isIngraph              INFO     ********************
2022-10-12 02:09:33.361 545:isIngraph              INFO     Best MCC:0.8847
2022-10-12 02:09:33.361 546:isIngraph              INFO     ********************
2022-10-12 02:09:33.362 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/random/saved_codebertmodels/4/ddg_layer_2/checkpoint-best-mcc/model.bin
2022-10-12 02:09:39.310 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-12 02:09:39.311 581:isIngraph              INFO     Num examples = 36642
2022-10-12 02:09:39.311 582:isIngraph              INFO     Batch size = 32
2022-10-12 02:09:59.256 627:isIngraph              INFO   ***** Eval results *****
2022-10-12 02:09:59.256 629:isIngraph              INFO     eval_acc = 0.9526
2022-10-12 02:09:59.257 629:isIngraph              INFO     eval_f1 = 0.9532
2022-10-12 02:09:59.257 629:isIngraph              INFO     eval_mcc = 0.9055
2022-10-12 02:09:59.257 629:isIngraph              INFO     eval_precision = 0.941
2022-10-12 02:09:59.257 629:isIngraph              INFO     eval_recall = 0.9658
2022-10-12 02:09:59.257 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-12 02:09:59.257 522:isIngraph              INFO     ********************
2022-10-12 02:09:59.257 523:isIngraph              INFO     Best f1:0.9532
2022-10-12 02:09:59.257 524:isIngraph              INFO     ********************
2022-10-12 02:09:59.258 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/random/saved_codebertmodels/4/ddg_layer_2/checkpoint-best-f1/model.bin
2022-10-12 02:09:59.258 544:isIngraph              INFO     ********************
2022-10-12 02:09:59.258 545:isIngraph              INFO     Best MCC:0.9055
2022-10-12 02:09:59.258 546:isIngraph              INFO     ********************
2022-10-12 02:09:59.259 561:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/random/saved_codebertmodels/4/ddg_layer_2/checkpoint-best-mcc/model.bin
2022-10-12 02:10:05.231 580:isIngraph              INFO   ***** Running evaluation *****
2022-10-12 02:10:05.231 581:isIngraph              INFO     Num examples = 36642
2022-10-12 02:10:05.231 582:isIngraph              INFO     Batch size = 32
2022-10-12 02:10:25.182 627:isIngraph              INFO   ***** Eval results *****
2022-10-12 02:10:25.182 629:isIngraph              INFO     eval_acc = 0.9543
2022-10-12 02:10:25.182 629:isIngraph              INFO     eval_f1 = 0.9554
2022-10-12 02:10:25.182 629:isIngraph              INFO     eval_mcc = 0.9097
2022-10-12 02:10:25.182 629:isIngraph              INFO     eval_precision = 0.9343
2022-10-12 02:10:25.182 629:isIngraph              INFO     eval_recall = 0.9775
2022-10-12 02:10:25.182 629:isIngraph              INFO     eval_threshold = 0.5
2022-10-12 02:10:25.182 522:isIngraph              INFO     ********************
2022-10-12 02:10:25.182 523:isIngraph              INFO     Best f1:0.9554
2022-10-12 02:10:25.183 524:isIngraph              INFO     ********************
2022-10-12 02:10:25.183 539:isIngraph              INFO   Saving model checkpoint to ../isInGraph/poj/random/saved_codebertmodels/4/ddg_layer_2/checkpoint-best-f1/model.bin
