2022-08-28 20:29:47.717 669:pos-tag                DEBUG  main message
2022-08-28 20:29:47.717 675:pos-tag                WARNING device: cuda, n_gpu: 1
2022-08-28 20:29:50.892 690:pos-tag                INFO   Load Dataset
2022-08-28 20:29:50.893 694:pos-tag                INFO   Num of Class 145
2022-08-28 20:29:52.376 714:pos-tag                INFO   Finishing loading Dataset
2022-08-28 20:29:52.377 721:pos-tag                INFO   pretrained the encoder
2022-08-28 20:29:54.283 733:pos-tag                INFO   Probimg Model Parameters 111505
2022-08-28 20:29:54.283 734:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/codebert-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=False, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=3, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='codebert', model_name_or_path='microsoft/codebert-base', n_gpu=1, output_dir='./pos_res_java/plm/saved_codebertmodels/3/layer_3', posratio=0.5, seed=969, token_config='microsoft/codebert-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2022-08-28 20:29:54.283 178:pos-tag                INFO   save steps 1
2022-08-28 20:29:55.216 217:pos-tag                INFO   ***** Running training *****
2022-08-28 20:29:55.216 218:pos-tag                INFO     Num examples = 880
2022-08-28 20:29:55.217 219:pos-tag                INFO     Num Epochs = 5
2022-08-28 20:29:55.217 220:pos-tag                INFO     Instantaneous batch size per GPU = 64
2022-08-28 20:29:55.217 224:pos-tag                INFO     Total train batch size = 64
2022-08-28 20:29:55.217 228:pos-tag                INFO     Gradient Accumulation steps = 1
2022-08-28 20:29:55.217 231:pos-tag                INFO     Total optimization steps = 70
2022-08-28 20:29:56.356 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 20:29:56.357 352:pos-tag                INFO     Num examples = 293
2022-08-28 20:29:56.357 353:pos-tag                INFO     Batch size = 32
2022-08-28 20:29:59.776 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 20:29:59.776 401:pos-tag                INFO     eval_acc = 0.0016
2022-08-28 20:29:59.776 401:pos-tag                INFO     eval_f1 = 0.0005
2022-08-28 20:29:59.777 401:pos-tag                INFO     eval_mcc = -0.0023
2022-08-28 20:29:59.777 401:pos-tag                INFO     eval_precision = 0.001
2022-08-28 20:29:59.777 401:pos-tag                INFO     eval_recall = 0.0013
2022-08-28 20:29:59.777 293:pos-tag                INFO     ********************
2022-08-28 20:29:59.777 294:pos-tag                INFO     Best f1:0.0005
2022-08-28 20:29:59.777 295:pos-tag                INFO     ********************
2022-08-28 20:30:00.383 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_codebertmodels/3/layer_3/checkpoint-best-f1/model.bin
2022-08-28 20:30:01.162 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 20:30:01.162 352:pos-tag                INFO     Num examples = 293
2022-08-28 20:30:01.162 353:pos-tag                INFO     Batch size = 32
2022-08-28 20:30:04.581 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 20:30:04.581 401:pos-tag                INFO     eval_acc = 0.0018
2022-08-28 20:30:04.581 401:pos-tag                INFO     eval_f1 = 0.0006
2022-08-28 20:30:04.581 401:pos-tag                INFO     eval_mcc = -0.0022
2022-08-28 20:30:04.581 401:pos-tag                INFO     eval_precision = 0.0011
2022-08-28 20:30:04.581 401:pos-tag                INFO     eval_recall = 0.0014
2022-08-28 20:30:04.581 293:pos-tag                INFO     ********************
2022-08-28 20:30:04.581 294:pos-tag                INFO     Best f1:0.0006
2022-08-28 20:30:04.582 295:pos-tag                INFO     ********************
2022-08-28 20:30:05.763 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_codebertmodels/3/layer_3/checkpoint-best-f1/model.bin
