2023-06-04 19:40:01.223 676:pos-tag                DEBUG  main message
2023-06-04 19:40:01.223 682:pos-tag                WARNING device: cuda, n_gpu: 1
2023-06-04 19:40:01.966 702:pos-tag                INFO   Load Dataset
2023-06-04 19:40:01.967 706:pos-tag                INFO   Num of Class 233
2023-06-04 19:40:05.260 729:pos-tag                INFO   Finishing loading Dataset
2023-06-04 19:40:05.260 746:pos-tag                INFO   pretrained the encoder
2023-06-04 19:40:09.933 765:pos-tag                INFO   Probimg Model Parameters 179177
2023-06-04 19:40:09.933 766:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=False, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=7, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_java/plm/saved_unixcodermodels/1/layer_7', posratio=0.5, seed=933, token_config='microsoft/unixcoder-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2023-06-04 19:40:09.934 185:pos-tag                INFO   save steps 1
2023-06-04 19:40:11.894 224:pos-tag                INFO   ***** Running training *****
2023-06-04 19:40:11.894 225:pos-tag                INFO     Num examples = 880
2023-06-04 19:40:11.895 226:pos-tag                INFO     Num Epochs = 5
2023-06-04 19:40:11.895 227:pos-tag                INFO     Instantaneous batch size per GPU = 64
2023-06-04 19:40:11.895 231:pos-tag                INFO     Total train batch size = 64
2023-06-04 19:40:11.895 235:pos-tag                INFO     Gradient Accumulation steps = 1
2023-06-04 19:40:11.895 238:pos-tag                INFO     Total optimization steps = 70
2023-06-04 19:40:13.358 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-04 19:40:13.359 359:pos-tag                INFO     Num examples = 293
2023-06-04 19:40:13.359 360:pos-tag                INFO     Batch size = 32
2023-06-04 19:40:16.124 406:pos-tag                INFO   ***** Eval results *****
2023-06-04 19:40:16.124 408:pos-tag                INFO     eval_acc = 0.0064
2023-06-04 19:40:16.124 408:pos-tag                INFO     eval_f1 = 0.0031
2023-06-04 19:40:16.125 408:pos-tag                INFO     eval_mcc = 0.0029
2023-06-04 19:40:16.125 408:pos-tag                INFO     eval_precision = 0.0065
2023-06-04 19:40:16.125 408:pos-tag                INFO     eval_recall = 0.0038
2023-06-04 19:40:16.125 300:pos-tag                INFO     ********************
2023-06-04 19:40:16.125 301:pos-tag                INFO     Best f1:0.0031
2023-06-04 19:40:16.125 302:pos-tag                INFO     ********************
2023-06-04 19:40:17.484 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/1/layer_7/checkpoint-best-f1/model.bin
2023-06-04 19:40:17.484 322:pos-tag                INFO     ********************
2023-06-04 19:40:17.484 323:pos-tag                INFO     Best MCC:0.0029
2023-06-04 19:40:17.485 324:pos-tag                INFO     ********************
2023-06-04 19:40:18.952 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/plm/saved_unixcodermodels/1/layer_7/checkpoint-best-mcc/model.bin
2023-06-04 19:40:19.478 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-04 19:40:19.478 359:pos-tag                INFO     Num examples = 293
2023-06-04 19:40:19.478 360:pos-tag                INFO     Batch size = 32
2023-06-04 19:40:21.841 406:pos-tag                INFO   ***** Eval results *****
2023-06-04 19:40:21.842 408:pos-tag                INFO     eval_acc = 0.0081
