2022-08-28 04:30:07.322 669:pos-tag                DEBUG  main message
2022-08-28 04:30:07.322 675:pos-tag                WARNING device: cuda, n_gpu: 1
2022-08-28 04:30:10.508 690:pos-tag                INFO   Load Dataset
2022-08-28 04:30:10.508 694:pos-tag                INFO   Num of Class 145
2022-08-28 04:30:12.006 714:pos-tag                INFO   Finishing loading Dataset
2022-08-28 04:30:12.006 718:pos-tag                INFO   Random Initialize the encoder
2022-08-28 04:30:13.265 733:pos-tag                INFO   Probimg Model Parameters 111505
2022-08-28 04:30:13.265 734:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/codebert-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=True, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=12, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='codebert', model_name_or_path='microsoft/codebert-base', n_gpu=1, output_dir='./pos_res_java/random/saved_codebertmodels/2/layer_12', posratio=0.5, seed=926, token_config='microsoft/codebert-base', train_batch_size=32, warmup_steps=0, weight_decay=0.0)
2022-08-28 04:30:13.265 178:pos-tag                INFO   save steps 2
2022-08-28 04:30:14.191 217:pos-tag                INFO   ***** Running training *****
2022-08-28 04:30:14.191 218:pos-tag                INFO     Num examples = 880
2022-08-28 04:30:14.192 219:pos-tag                INFO     Num Epochs = 5
2022-08-28 04:30:14.192 220:pos-tag                INFO     Instantaneous batch size per GPU = 32
2022-08-28 04:30:14.192 224:pos-tag                INFO     Total train batch size = 32
2022-08-28 04:30:14.192 228:pos-tag                INFO     Gradient Accumulation steps = 1
2022-08-28 04:30:14.192 231:pos-tag                INFO     Total optimization steps = 140
2022-08-28 04:30:15.354 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 04:30:15.355 352:pos-tag                INFO     Num examples = 293
2022-08-28 04:30:15.355 353:pos-tag                INFO     Batch size = 32
2022-08-28 04:30:18.743 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 04:30:18.743 401:pos-tag                INFO     eval_acc = 0.0131
2022-08-28 04:30:18.743 401:pos-tag                INFO     eval_f1 = 0.0016
2022-08-28 04:30:18.743 401:pos-tag                INFO     eval_mcc = 0.0052
2022-08-28 04:30:18.743 401:pos-tag                INFO     eval_precision = 0.005
2022-08-28 04:30:18.743 401:pos-tag                INFO     eval_recall = 0.0038
2022-08-28 04:30:18.743 293:pos-tag                INFO     ********************
2022-08-28 04:30:18.743 294:pos-tag                INFO     Best f1:0.0016
2022-08-28 04:30:18.743 295:pos-tag                INFO     ********************
2022-08-28 04:30:19.325 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/2/layer_12/checkpoint-best-f1/model.bin
2022-08-28 04:30:19.325 315:pos-tag                INFO     ********************
2022-08-28 04:30:19.325 316:pos-tag                INFO     Best MCC:0.0052
2022-08-28 04:30:19.325 317:pos-tag                INFO     ********************
