2022-08-28 14:36:18.773 669:pos-tag                DEBUG  main message
2022-08-28 14:36:18.773 675:pos-tag                WARNING device: cuda, n_gpu: 1
2022-08-28 14:36:21.965 690:pos-tag                INFO   Load Dataset
2022-08-28 14:36:21.965 694:pos-tag                INFO   Num of Class 145
2022-08-28 14:36:23.478 714:pos-tag                INFO   Finishing loading Dataset
2022-08-28 14:36:23.478 718:pos-tag                INFO   Random Initialize the encoder
2022-08-28 14:36:24.739 733:pos-tag                INFO   Probimg Model Parameters 111505
2022-08-28 14:36:24.739 734:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/codebert-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=True, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=11, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='codebert', model_name_or_path='microsoft/codebert-base', n_gpu=1, output_dir='./pos_res_java/random/saved_codebertmodels/3/layer_11', posratio=0.5, seed=969, token_config='microsoft/codebert-base', train_batch_size=32, warmup_steps=0, weight_decay=0.0)
2022-08-28 14:36:24.740 178:pos-tag                INFO   save steps 2
2022-08-28 14:36:25.673 217:pos-tag                INFO   ***** Running training *****
2022-08-28 14:36:25.673 218:pos-tag                INFO     Num examples = 880
2022-08-28 14:36:25.673 219:pos-tag                INFO     Num Epochs = 5
2022-08-28 14:36:25.673 220:pos-tag                INFO     Instantaneous batch size per GPU = 32
2022-08-28 14:36:25.673 224:pos-tag                INFO     Total train batch size = 32
2022-08-28 14:36:25.673 228:pos-tag                INFO     Gradient Accumulation steps = 1
2022-08-28 14:36:25.673 231:pos-tag                INFO     Total optimization steps = 140
2022-08-28 14:36:26.841 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 14:36:26.841 352:pos-tag                INFO     Num examples = 293
2022-08-28 14:36:26.841 353:pos-tag                INFO     Batch size = 32
2022-08-28 14:36:30.221 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 14:36:30.221 401:pos-tag                INFO     eval_acc = 0.0057
2022-08-28 14:36:30.221 401:pos-tag                INFO     eval_f1 = 0.0009
2022-08-28 14:36:30.221 401:pos-tag                INFO     eval_mcc = -0.0168
2022-08-28 14:36:30.222 401:pos-tag                INFO     eval_precision = 0.009
2022-08-28 14:36:30.222 401:pos-tag                INFO     eval_recall = 0.0026
2022-08-28 14:36:30.222 293:pos-tag                INFO     ********************
2022-08-28 14:36:30.222 294:pos-tag                INFO     Best f1:0.0009
2022-08-28 14:36:30.222 295:pos-tag                INFO     ********************
2022-08-28 14:36:30.823 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/3/layer_11/checkpoint-best-f1/model.bin
2022-08-28 14:36:31.623 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 14:36:31.623 352:pos-tag                INFO     Num examples = 293
2022-08-28 14:36:31.623 353:pos-tag                INFO     Batch size = 32
2022-08-28 14:36:35.004 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 14:36:35.004 401:pos-tag                INFO     eval_acc = 0.0095
2022-08-28 14:36:35.004 401:pos-tag                INFO     eval_f1 = 0.0011
2022-08-28 14:36:35.005 401:pos-tag                INFO     eval_mcc = -0.0239
2022-08-28 14:36:35.005 401:pos-tag                INFO     eval_precision = 0.0036
2022-08-28 14:36:35.005 401:pos-tag                INFO     eval_recall = 0.0027
2022-08-28 14:36:35.005 293:pos-tag                INFO     ********************
2022-08-28 14:36:35.005 294:pos-tag                INFO     Best f1:0.0011
2022-08-28 14:36:35.005 295:pos-tag                INFO     ********************
2022-08-28 14:36:36.117 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/3/layer_11/checkpoint-best-f1/model.bin
2022-08-28 14:36:36.922 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 14:36:36.923 352:pos-tag                INFO     Num examples = 293
2022-08-28 14:36:36.923 353:pos-tag                INFO     Batch size = 32
2022-08-28 14:36:40.307 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 14:36:40.307 401:pos-tag                INFO     eval_acc = 0.0186
2022-08-28 14:36:40.307 401:pos-tag                INFO     eval_f1 = 0.0014
2022-08-28 14:36:40.307 401:pos-tag                INFO     eval_mcc = -0.0312
2022-08-28 14:36:40.307 401:pos-tag                INFO     eval_precision = 0.0054
2022-08-28 14:36:40.307 401:pos-tag                INFO     eval_recall = 0.0035
2022-08-28 14:36:40.307 293:pos-tag                INFO     ********************
2022-08-28 14:36:40.307 294:pos-tag                INFO     Best f1:0.0014
2022-08-28 14:36:40.308 295:pos-tag                INFO     ********************
2022-08-28 14:36:43.828 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/3/layer_11/checkpoint-best-f1/model.bin
2022-08-28 14:36:44.646 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 14:36:44.646 352:pos-tag                INFO     Num examples = 293
2022-08-28 14:36:44.646 353:pos-tag                INFO     Batch size = 32
2022-08-28 14:36:48.017 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 14:36:48.017 401:pos-tag                INFO     eval_acc = 0.0306
2022-08-28 14:36:48.017 401:pos-tag                INFO     eval_f1 = 0.0028
2022-08-28 14:36:48.018 401:pos-tag                INFO     eval_mcc = -0.0315
2022-08-28 14:36:48.018 401:pos-tag                INFO     eval_precision = 0.0116
2022-08-28 14:36:48.018 401:pos-tag                INFO     eval_recall = 0.0059
2022-08-28 14:36:48.018 293:pos-tag                INFO     ********************
2022-08-28 14:36:48.018 294:pos-tag                INFO     Best f1:0.0028
2022-08-28 14:36:48.018 295:pos-tag                INFO     ********************
2022-08-28 14:36:51.842 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codebertmodels/3/layer_11/checkpoint-best-f1/model.bin
2022-08-28 14:36:52.666 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 14:36:52.667 352:pos-tag                INFO     Num examples = 293
