2023-05-26 22:14:09.152 669:pos-tag                DEBUG  main message
2023-05-26 22:14:09.152 675:pos-tag                WARNING device: cuda, n_gpu: 1
2023-05-26 22:14:09.822 695:pos-tag                INFO   Load Dataset
2023-05-26 22:14:09.823 699:pos-tag                INFO   Num of Class 233
2023-05-26 22:14:12.791 719:pos-tag                INFO   Finishing loading Dataset
2023-05-26 22:14:12.792 724:pos-tag                INFO   Random Initialize the encoder
2023-05-26 22:14:16.630 755:pos-tag                INFO   Probimg Model Parameters 179177
2023-05-26 22:14:16.630 756:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='Salesforce/codet5-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=True, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=9, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='codet5', model_name_or_path='Salesforce/codet5-base', n_gpu=1, output_dir='./pos_res_java/random/saved_codet5models/1/layer_9', posratio=0.5, seed=179, token_config='Salesforce/codet5-base', train_batch_size=32, warmup_steps=0, weight_decay=0.0)
2023-05-26 22:14:16.631 178:pos-tag                INFO   save steps 2
2023-05-26 22:14:18.579 217:pos-tag                INFO   ***** Running training *****
2023-05-26 22:14:18.579 218:pos-tag                INFO     Num examples = 880
2023-05-26 22:14:18.579 219:pos-tag                INFO     Num Epochs = 5
2023-05-26 22:14:18.579 220:pos-tag                INFO     Instantaneous batch size per GPU = 32
2023-05-26 22:14:18.580 224:pos-tag                INFO     Total train batch size = 32
2023-05-26 22:14:18.580 228:pos-tag                INFO     Gradient Accumulation steps = 1
2023-05-26 22:14:18.580 231:pos-tag                INFO     Total optimization steps = 140
2023-05-26 22:14:20.921 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:14:20.921 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:14:20.922 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:14:27.787 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:14:27.788 401:pos-tag                INFO     eval_acc = 0.0212
2023-05-26 22:14:27.788 401:pos-tag                INFO     eval_f1 = 0.0012
2023-05-26 22:14:27.788 401:pos-tag                INFO     eval_mcc = -0.0025
2023-05-26 22:14:27.788 401:pos-tag                INFO     eval_precision = 0.0067
2023-05-26 22:14:27.788 401:pos-tag                INFO     eval_recall = 0.0026
2023-05-26 22:14:27.788 293:pos-tag                INFO     ********************
2023-05-26 22:14:27.788 294:pos-tag                INFO     Best f1:0.0012
2023-05-26 22:14:27.789 295:pos-tag                INFO     ********************
2023-05-26 22:14:29.840 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:14:31.389 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:14:31.389 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:14:31.389 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:14:38.169 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:14:38.170 401:pos-tag                INFO     eval_acc = 0.0249
2023-05-26 22:14:38.171 401:pos-tag                INFO     eval_f1 = 0.002
2023-05-26 22:14:38.171 401:pos-tag                INFO     eval_mcc = 0.0002
2023-05-26 22:14:38.171 401:pos-tag                INFO     eval_precision = 0.0072
2023-05-26 22:14:38.171 401:pos-tag                INFO     eval_recall = 0.0032
2023-05-26 22:14:38.171 293:pos-tag                INFO     ********************
2023-05-26 22:14:38.171 294:pos-tag                INFO     Best f1:0.002
2023-05-26 22:14:38.171 295:pos-tag                INFO     ********************
2023-05-26 22:14:40.558 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:14:40.558 315:pos-tag                INFO     ********************
2023-05-26 22:14:40.559 316:pos-tag                INFO     Best MCC:0.0002
2023-05-26 22:14:40.559 317:pos-tag                INFO     ********************
2023-05-26 22:14:42.719 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:14:44.294 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:14:44.295 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:14:44.295 353:pos-tag                INFO     Batch size = 32
2023-05-26 22:14:51.091 399:pos-tag                INFO   ***** Eval results *****
2023-05-26 22:14:51.091 401:pos-tag                INFO     eval_acc = 0.037
