2022-08-28 23:09:09.702 669:pos-tag                DEBUG  main message
2022-08-28 23:09:09.702 675:pos-tag                WARNING device: cuda, n_gpu: 1
2022-08-28 23:09:12.883 690:pos-tag                INFO   Load Dataset
2022-08-28 23:09:12.883 694:pos-tag                INFO   Num of Class 133
2022-08-28 23:09:15.924 714:pos-tag                INFO   Finishing loading Dataset
2022-08-28 23:09:15.925 721:pos-tag                INFO   pretrained the encoder
2022-08-28 23:09:17.806 733:pos-tag                INFO   Probimg Model Parameters 102277
2022-08-28 23:09:17.807 734:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/codebert-base', data_folder='../datasets/poj-104/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=False, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=0, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='codebert', model_name_or_path='microsoft/codebert-base', n_gpu=1, output_dir='./pos_res_poj/plm/saved_codebertmodels/3/layer_0', posratio=0.5, seed=969, token_config='microsoft/codebert-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2022-08-28 23:09:17.807 178:pos-tag                INFO   save steps 1
2022-08-28 23:09:18.735 217:pos-tag                INFO   ***** Running training *****
2022-08-28 23:09:18.735 218:pos-tag                INFO     Num examples = 1200
2022-08-28 23:09:18.735 219:pos-tag                INFO     Num Epochs = 5
2022-08-28 23:09:18.735 220:pos-tag                INFO     Instantaneous batch size per GPU = 64
2022-08-28 23:09:18.736 224:pos-tag                INFO     Total train batch size = 64
2022-08-28 23:09:18.736 228:pos-tag                INFO     Gradient Accumulation steps = 1
2022-08-28 23:09:18.736 231:pos-tag                INFO     Total optimization steps = 95
2022-08-28 23:09:19.887 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 23:09:19.888 352:pos-tag                INFO     Num examples = 400
2022-08-28 23:09:19.888 353:pos-tag                INFO     Batch size = 32
2022-08-28 23:09:24.642 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 23:09:24.642 401:pos-tag                INFO     eval_acc = 0.0071
2022-08-28 23:09:24.642 401:pos-tag                INFO     eval_f1 = 0.0028
2022-08-28 23:09:24.642 401:pos-tag                INFO     eval_mcc = -0.0045
2022-08-28 23:09:24.642 401:pos-tag                INFO     eval_precision = 0.0069
2022-08-28 23:09:24.642 401:pos-tag                INFO     eval_recall = 0.0034
2022-08-28 23:09:24.643 293:pos-tag                INFO     ********************
2022-08-28 23:09:24.643 294:pos-tag                INFO     Best f1:0.0028
2022-08-28 23:09:24.643 295:pos-tag                INFO     ********************
2022-08-28 23:09:25.257 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_codebertmodels/3/layer_0/checkpoint-best-f1/model.bin
2022-08-28 23:09:26.035 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 23:09:26.036 352:pos-tag                INFO     Num examples = 400
2022-08-28 23:09:26.036 353:pos-tag                INFO     Batch size = 32
2022-08-28 23:09:30.792 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 23:09:30.792 401:pos-tag                INFO     eval_acc = 0.0079
2022-08-28 23:09:30.792 401:pos-tag                INFO     eval_f1 = 0.0031
2022-08-28 23:09:30.792 401:pos-tag                INFO     eval_mcc = -0.0043
2022-08-28 23:09:30.792 401:pos-tag                INFO     eval_precision = 0.0075
2022-08-28 23:09:30.792 401:pos-tag                INFO     eval_recall = 0.0036
2022-08-28 23:09:30.793 293:pos-tag                INFO     ********************
2022-08-28 23:09:30.793 294:pos-tag                INFO     Best f1:0.0031
2022-08-28 23:09:30.793 295:pos-tag                INFO     ********************
2022-08-28 23:09:32.002 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_codebertmodels/3/layer_0/checkpoint-best-f1/model.bin
2022-08-28 23:09:32.783 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 23:09:32.783 352:pos-tag                INFO     Num examples = 400
2022-08-28 23:09:32.783 353:pos-tag                INFO     Batch size = 32
2022-08-28 23:09:37.533 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 23:09:37.533 401:pos-tag                INFO     eval_acc = 0.0111
2022-08-28 23:09:37.533 401:pos-tag                INFO     eval_f1 = 0.004
2022-08-28 23:09:37.533 401:pos-tag                INFO     eval_mcc = -0.0022
