2023-05-29 08:38:31.933 669:pos-tag                DEBUG  main message
2023-05-29 08:38:31.933 675:pos-tag                WARNING device: cuda, n_gpu: 1
2023-05-29 08:38:32.594 695:pos-tag                INFO   Load Dataset
2023-05-29 08:38:32.595 699:pos-tag                INFO   Num of Class 229
2023-05-29 08:38:38.131 719:pos-tag                INFO   Finishing loading Dataset
2023-05-29 08:38:38.131 727:pos-tag                INFO   pretrained the encoder
2023-05-29 08:38:43.126 755:pos-tag                INFO   Probimg Model Parameters 176101
2023-05-29 08:38:43.127 756:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='Salesforce/codet5-base', data_folder='../datasets/poj-104/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=False, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=0, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='codet5', model_name_or_path='Salesforce/codet5-base', n_gpu=1, output_dir='./pos_res_poj/plm/saved_codet5models/1/layer_0', posratio=0.5, seed=221, token_config='Salesforce/codet5-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2023-05-29 08:38:43.128 178:pos-tag                INFO   save steps 1
2023-05-29 08:38:45.429 217:pos-tag                INFO   ***** Running training *****
2023-05-29 08:38:45.430 218:pos-tag                INFO     Num examples = 1200
2023-05-29 08:38:45.430 219:pos-tag                INFO     Num Epochs = 5
2023-05-29 08:38:45.431 220:pos-tag                INFO     Instantaneous batch size per GPU = 64
2023-05-29 08:38:45.431 224:pos-tag                INFO     Total train batch size = 64
2023-05-29 08:38:45.431 228:pos-tag                INFO     Gradient Accumulation steps = 1
2023-05-29 08:38:45.431 231:pos-tag                INFO     Total optimization steps = 95
2023-05-29 08:38:48.047 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-29 08:38:48.048 352:pos-tag                INFO     Num examples = 400
2023-05-29 08:38:48.048 353:pos-tag                INFO     Batch size = 32
2023-05-29 08:38:57.835 399:pos-tag                INFO   ***** Eval results *****
2023-05-29 08:38:57.836 401:pos-tag                INFO     eval_acc = 0.0012
2023-05-29 08:38:57.836 401:pos-tag                INFO     eval_f1 = 0.0003
2023-05-29 08:38:57.836 401:pos-tag                INFO     eval_mcc = -0.0062
2023-05-29 08:38:57.836 401:pos-tag                INFO     eval_precision = 0.0052
2023-05-29 08:38:57.836 401:pos-tag                INFO     eval_recall = 0.0004
2023-05-29 08:38:57.837 293:pos-tag                INFO     ********************
2023-05-29 08:38:57.837 294:pos-tag                INFO     Best f1:0.0003
2023-05-29 08:38:57.837 295:pos-tag                INFO     ********************
2023-05-29 08:38:59.932 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_codet5models/1/layer_0/checkpoint-best-f1/model.bin
2023-05-29 08:39:01.548 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-29 08:39:01.548 352:pos-tag                INFO     Num examples = 400
2023-05-29 08:39:01.548 353:pos-tag                INFO     Batch size = 32
2023-05-29 08:39:10.771 399:pos-tag                INFO   ***** Eval results *****
2023-05-29 08:39:10.772 401:pos-tag                INFO     eval_acc = 0.0012
2023-05-29 08:39:10.772 401:pos-tag                INFO     eval_f1 = 0.0003
2023-05-29 08:39:10.772 401:pos-tag                INFO     eval_mcc = -0.0062
2023-05-29 08:39:10.773 401:pos-tag                INFO     eval_precision = 0.0052
2023-05-29 08:39:10.773 401:pos-tag                INFO     eval_recall = 0.0004
2023-05-29 08:39:12.294 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-29 08:39:12.295 352:pos-tag                INFO     Num examples = 400
2023-05-29 08:39:12.295 353:pos-tag                INFO     Batch size = 32
2023-05-29 08:39:21.549 399:pos-tag                INFO   ***** Eval results *****
2023-05-29 08:39:21.549 401:pos-tag                INFO     eval_acc = 0.0012
2023-05-29 08:39:21.549 401:pos-tag                INFO     eval_f1 = 0.0002
2023-05-29 08:39:21.549 401:pos-tag                INFO     eval_mcc = -0.0076
2023-05-29 08:39:21.550 401:pos-tag                INFO     eval_precision = 0.004
2023-05-29 08:39:21.550 401:pos-tag                INFO     eval_recall = 0.0004
2023-05-29 08:39:23.074 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-29 08:39:23.074 352:pos-tag                INFO     Num examples = 400
2023-05-29 08:39:23.074 353:pos-tag                INFO     Batch size = 32
2023-05-29 08:39:32.396 399:pos-tag                INFO   ***** Eval results *****
2023-05-29 08:39:32.397 401:pos-tag                INFO     eval_acc = 0.0525
2023-05-29 08:39:32.397 401:pos-tag                INFO     eval_f1 = 0.0041
2023-05-29 08:39:32.397 401:pos-tag                INFO     eval_mcc = 0.0427
2023-05-29 08:39:32.398 401:pos-tag                INFO     eval_precision = 0.0081
2023-05-29 08:39:32.398 401:pos-tag                INFO     eval_recall = 0.0073
2023-05-29 08:39:32.398 293:pos-tag                INFO     ********************
2023-05-29 08:39:32.398 294:pos-tag                INFO     Best f1:0.0041
2023-05-29 08:39:32.398 295:pos-tag                INFO     ********************
2023-05-29 08:39:34.767 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_codet5models/1/layer_0/checkpoint-best-f1/model.bin
2023-05-29 08:39:34.767 315:pos-tag                INFO     ********************
2023-05-29 08:39:34.767 316:pos-tag                INFO     Best MCC:0.0427
2023-05-29 08:39:34.768 317:pos-tag                INFO     ********************
2023-05-29 08:39:36.911 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_codet5models/1/layer_0/checkpoint-best-mcc/model.bin
2023-05-29 08:39:38.454 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-29 08:39:38.455 352:pos-tag                INFO     Num examples = 400
2023-05-29 08:39:38.455 353:pos-tag                INFO     Batch size = 32
2023-05-29 08:39:48.304 399:pos-tag                INFO   ***** Eval results *****
2023-05-29 08:39:48.305 401:pos-tag                INFO     eval_acc = 0.0542
2023-05-29 08:39:48.305 401:pos-tag                INFO     eval_f1 = 0.0043
2023-05-29 08:39:48.305 401:pos-tag                INFO     eval_mcc = 0.0423
2023-05-29 08:39:48.305 401:pos-tag                INFO     eval_precision = 0.0086
2023-05-29 08:39:48.306 401:pos-tag                INFO     eval_recall = 0.0075
2023-05-29 08:39:48.306 293:pos-tag                INFO     ********************
2023-05-29 08:39:48.306 294:pos-tag                INFO     Best f1:0.0043
2023-05-29 08:39:48.306 295:pos-tag                INFO     ********************
2023-05-29 08:39:50.805 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_codet5models/1/layer_0/checkpoint-best-f1/model.bin
2023-05-29 08:39:52.339 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-29 08:39:52.339 352:pos-tag                INFO     Num examples = 400
2023-05-29 08:39:52.339 353:pos-tag                INFO     Batch size = 32
2023-05-29 08:40:01.661 399:pos-tag                INFO   ***** Eval results *****
2023-05-29 08:40:01.662 401:pos-tag                INFO     eval_acc = 0.0712
2023-05-29 08:40:01.662 401:pos-tag                INFO     eval_f1 = 0.0071
2023-05-29 08:40:01.662 401:pos-tag                INFO     eval_mcc = 0.0567
2023-05-29 08:40:01.662 401:pos-tag                INFO     eval_precision = 0.0105
2023-05-29 08:40:01.662 401:pos-tag                INFO     eval_recall = 0.0133
2023-05-29 08:40:01.662 293:pos-tag                INFO     ********************
2023-05-29 08:40:01.662 294:pos-tag                INFO     Best f1:0.0071
2023-05-29 08:40:01.663 295:pos-tag                INFO     ********************
2023-05-29 08:40:04.161 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_codet5models/1/layer_0/checkpoint-best-f1/model.bin
2023-05-29 08:40:04.162 315:pos-tag                INFO     ********************
2023-05-29 08:40:04.162 316:pos-tag                INFO     Best MCC:0.0567
2023-05-29 08:40:04.162 317:pos-tag                INFO     ********************
