2023-06-05 03:08:08.644 676:pos-tag                DEBUG  main message
2023-06-05 03:08:08.645 682:pos-tag                WARNING device: cuda, n_gpu: 1
2023-06-05 03:08:09.456 702:pos-tag                INFO   Load Dataset
2023-06-05 03:08:09.456 706:pos-tag                INFO   Num of Class 229
2023-06-05 03:08:16.872 729:pos-tag                INFO   Finishing loading Dataset
2023-06-05 03:08:16.873 746:pos-tag                INFO   pretrained the encoder
2023-06-05 03:08:20.405 765:pos-tag                INFO   Probimg Model Parameters 176101
2023-06-05 03:08:20.405 766:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/poj-104/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=False, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=7, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_poj/plm/saved_unixcodermodels/2/layer_7', posratio=0.5, seed=289, token_config='microsoft/unixcoder-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2023-06-05 03:08:20.406 185:pos-tag                INFO   save steps 1
2023-06-05 03:08:22.332 224:pos-tag                INFO   ***** Running training *****
2023-06-05 03:08:22.333 225:pos-tag                INFO     Num examples = 1200
2023-06-05 03:08:22.333 226:pos-tag                INFO     Num Epochs = 5
2023-06-05 03:08:22.337 227:pos-tag                INFO     Instantaneous batch size per GPU = 64
2023-06-05 03:08:22.337 231:pos-tag                INFO     Total train batch size = 64
2023-06-05 03:08:22.337 235:pos-tag                INFO     Gradient Accumulation steps = 1
2023-06-05 03:08:22.337 238:pos-tag                INFO     Total optimization steps = 95
2023-06-05 03:08:23.988 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 03:08:23.989 359:pos-tag                INFO     Num examples = 400
2023-06-05 03:08:23.989 360:pos-tag                INFO     Batch size = 32
2023-06-05 03:08:27.947 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 03:08:27.948 408:pos-tag                INFO     eval_acc = 0.0048
2023-06-05 03:08:27.948 408:pos-tag                INFO     eval_f1 = 0.0006
2023-06-05 03:08:27.949 408:pos-tag                INFO     eval_mcc = -0.0013
2023-06-05 03:08:27.949 408:pos-tag                INFO     eval_precision = 0.0014
2023-06-05 03:08:27.949 408:pos-tag                INFO     eval_recall = 0.001
2023-06-05 03:08:27.949 300:pos-tag                INFO     ********************
2023-06-05 03:08:27.950 301:pos-tag                INFO     Best f1:0.0006
2023-06-05 03:08:27.950 302:pos-tag                INFO     ********************
2023-06-05 03:08:29.424 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/2/layer_7/checkpoint-best-f1/model.bin
2023-06-05 03:08:29.960 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 03:08:29.960 359:pos-tag                INFO     Num examples = 400
2023-06-05 03:08:29.960 360:pos-tag                INFO     Batch size = 32
2023-06-05 03:08:33.396 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 03:08:33.396 408:pos-tag                INFO     eval_acc = 0.0055
2023-06-05 03:08:33.397 408:pos-tag                INFO     eval_f1 = 0.0006
2023-06-05 03:08:33.397 408:pos-tag                INFO     eval_mcc = -0.0014
2023-06-05 03:08:33.397 408:pos-tag                INFO     eval_precision = 0.0016
2023-06-05 03:08:33.397 408:pos-tag                INFO     eval_recall = 0.0011
2023-06-05 03:08:33.397 300:pos-tag                INFO     ********************
2023-06-05 03:08:33.397 301:pos-tag                INFO     Best f1:0.0006
2023-06-05 03:08:33.398 302:pos-tag                INFO     ********************
2023-06-05 03:08:34.881 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/2/layer_7/checkpoint-best-f1/model.bin
2023-06-05 03:08:35.420 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 03:08:35.421 359:pos-tag                INFO     Num examples = 400
