2023-05-23 21:56:24.375 669:pos-tag                DEBUG  main message
2023-05-23 21:56:24.375 675:pos-tag                WARNING device: cuda, n_gpu: 1
2023-05-23 21:56:25.073 690:pos-tag                INFO   Load Dataset
2023-05-23 21:56:25.073 694:pos-tag                INFO   Num of Class 229
2023-05-23 21:56:27.993 714:pos-tag                INFO   Finishing loading Dataset
2023-05-23 21:56:27.993 721:pos-tag                INFO   pretrained the encoder
2023-05-23 21:56:29.060 733:pos-tag                INFO   Probimg Model Parameters 176101
2023-05-23 21:56:29.060 734:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/poj-104/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=False, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=0, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_poj/plm/saved_unixcodermodels/4/layer_0', posratio=0.5, seed=57, token_config='microsoft/unixcoder-base', train_batch_size=64, warmup_steps=0, weight_decay=0.0)
2023-05-23 21:56:29.060 178:pos-tag                INFO   save steps 1
2023-05-23 21:56:29.994 217:pos-tag                INFO   ***** Running training *****
2023-05-23 21:56:29.994 218:pos-tag                INFO     Num examples = 1200
2023-05-23 21:56:29.994 219:pos-tag                INFO     Num Epochs = 5
2023-05-23 21:56:29.994 220:pos-tag                INFO     Instantaneous batch size per GPU = 64
2023-05-23 21:56:29.994 224:pos-tag                INFO     Total train batch size = 64
2023-05-23 21:56:29.994 228:pos-tag                INFO     Gradient Accumulation steps = 1
2023-05-23 21:56:29.994 231:pos-tag                INFO     Total optimization steps = 95
2023-05-23 21:56:31.152 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 21:56:31.152 352:pos-tag                INFO     Num examples = 400
2023-05-23 21:56:31.153 353:pos-tag                INFO     Batch size = 32
2023-05-23 21:56:36.357 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 21:56:36.358 401:pos-tag                INFO     eval_acc = 0.0196
2023-05-23 21:56:36.368 401:pos-tag                INFO     eval_f1 = 0.0023
2023-05-23 21:56:36.368 401:pos-tag                INFO     eval_mcc = 0.0141
2023-05-23 21:56:36.369 401:pos-tag                INFO     eval_precision = 0.0067
2023-05-23 21:56:36.369 401:pos-tag                INFO     eval_recall = 0.0017
2023-05-23 21:56:36.369 293:pos-tag                INFO     ********************
2023-05-23 21:56:36.370 294:pos-tag                INFO     Best f1:0.0023
2023-05-23 21:56:36.370 295:pos-tag                INFO     ********************
2023-05-23 21:56:37.084 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-f1/model.bin
2023-05-23 21:56:37.084 315:pos-tag                INFO     ********************
2023-05-23 21:56:37.084 316:pos-tag                INFO     Best MCC:0.0141
2023-05-23 21:56:37.084 317:pos-tag                INFO     ********************
2023-05-23 21:56:37.769 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/plm/saved_unixcodermodels/4/layer_0/checkpoint-best-mcc/model.bin
2023-05-23 21:56:38.563 351:pos-tag                INFO   ***** Running evaluation *****
