2022-08-28 19:33:44.594 669:pos-tag                DEBUG  main message
2022-08-28 19:33:44.595 675:pos-tag                WARNING device: cuda, n_gpu: 1
2022-08-28 19:33:47.774 690:pos-tag                INFO   Load Dataset
2022-08-28 19:33:47.774 694:pos-tag                INFO   Num of Class 133
2022-08-28 19:33:50.750 714:pos-tag                INFO   Finishing loading Dataset
2022-08-28 19:33:50.750 718:pos-tag                INFO   Random Initialize the encoder
2022-08-28 19:33:51.991 733:pos-tag                INFO   Probimg Model Parameters 102277
2022-08-28 19:33:51.991 734:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/codebert-base', data_folder='../datasets/poj-104/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=True, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=5, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='codebert', model_name_or_path='microsoft/codebert-base', n_gpu=1, output_dir='./pos_res_poj/random/saved_codebertmodels/3/layer_5', posratio=0.5, seed=969, token_config='microsoft/codebert-base', train_batch_size=32, warmup_steps=0, weight_decay=0.0)
2022-08-28 19:33:51.991 178:pos-tag                INFO   save steps 3
2022-08-28 19:33:52.933 217:pos-tag                INFO   ***** Running training *****
2022-08-28 19:33:52.933 218:pos-tag                INFO     Num examples = 1200
2022-08-28 19:33:52.934 219:pos-tag                INFO     Num Epochs = 5
2022-08-28 19:33:52.934 220:pos-tag                INFO     Instantaneous batch size per GPU = 32
2022-08-28 19:33:52.934 224:pos-tag                INFO     Total train batch size = 32
2022-08-28 19:33:52.934 228:pos-tag                INFO     Gradient Accumulation steps = 1
2022-08-28 19:33:52.934 231:pos-tag                INFO     Total optimization steps = 190
2022-08-28 19:33:54.497 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 19:33:54.497 352:pos-tag                INFO     Num examples = 400
2022-08-28 19:33:54.497 353:pos-tag                INFO     Batch size = 32
2022-08-28 19:33:59.215 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 19:33:59.215 401:pos-tag                INFO     eval_acc = 0.0068
2022-08-28 19:33:59.215 401:pos-tag                INFO     eval_f1 = 0.0012
2022-08-28 19:33:59.216 401:pos-tag                INFO     eval_mcc = -0.0034
2022-08-28 19:33:59.216 401:pos-tag                INFO     eval_precision = 0.0033
2022-08-28 19:33:59.216 401:pos-tag                INFO     eval_recall = 0.0031
2022-08-28 19:33:59.216 293:pos-tag                INFO     ********************
2022-08-28 19:33:59.216 294:pos-tag                INFO     Best f1:0.0012
2022-08-28 19:33:59.216 295:pos-tag                INFO     ********************
2022-08-28 19:33:59.819 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/random/saved_codebertmodels/3/layer_5/checkpoint-best-f1/model.bin
2022-08-28 19:34:01.024 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 19:34:01.024 352:pos-tag                INFO     Num examples = 400
2022-08-28 19:34:01.024 353:pos-tag                INFO     Batch size = 32
2022-08-28 19:34:05.741 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 19:34:05.742 401:pos-tag                INFO     eval_acc = 0.0173
2022-08-28 19:34:05.742 401:pos-tag                INFO     eval_f1 = 0.0023
2022-08-28 19:34:05.742 401:pos-tag                INFO     eval_mcc = -0.0039
2022-08-28 19:34:05.742 401:pos-tag                INFO     eval_precision = 0.0067
2022-08-28 19:34:05.742 401:pos-tag                INFO     eval_recall = 0.0048
2022-08-28 19:34:05.742 293:pos-tag                INFO     ********************
2022-08-28 19:34:05.742 294:pos-tag                INFO     Best f1:0.0023
2022-08-28 19:34:05.742 295:pos-tag                INFO     ********************
2022-08-28 19:34:06.936 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/random/saved_codebertmodels/3/layer_5/checkpoint-best-f1/model.bin
2022-08-28 19:34:08.146 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 19:34:08.146 352:pos-tag                INFO     Num examples = 400
2022-08-28 19:34:08.146 353:pos-tag                INFO     Batch size = 32
2022-08-28 19:34:12.858 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 19:34:12.859 401:pos-tag                INFO     eval_acc = 0.0399
2022-08-28 19:34:12.859 401:pos-tag                INFO     eval_f1 = 0.0044
2022-08-28 19:34:12.859 401:pos-tag                INFO     eval_mcc = -0.0039
2022-08-28 19:34:12.859 401:pos-tag                INFO     eval_precision = 0.0155
2022-08-28 19:34:12.859 401:pos-tag                INFO     eval_recall = 0.0076
2022-08-28 19:34:12.859 293:pos-tag                INFO     ********************
2022-08-28 19:34:12.859 294:pos-tag                INFO     Best f1:0.0044
2022-08-28 19:34:12.859 295:pos-tag                INFO     ********************
2022-08-28 19:34:14.052 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/random/saved_codebertmodels/3/layer_5/checkpoint-best-f1/model.bin
2022-08-28 19:34:15.262 351:pos-tag                INFO   ***** Running evaluation *****
2022-08-28 19:34:15.262 352:pos-tag                INFO     Num examples = 400
2022-08-28 19:34:15.262 353:pos-tag                INFO     Batch size = 32
2022-08-28 19:34:19.966 399:pos-tag                INFO   ***** Eval results *****
2022-08-28 19:34:19.966 401:pos-tag                INFO     eval_acc = 0.0658
2022-08-28 19:34:19.966 401:pos-tag                INFO     eval_f1 = 0.0074
2022-08-28 19:34:19.966 401:pos-tag                INFO     eval_mcc = 0.0081
2022-08-28 19:34:19.966 401:pos-tag                INFO     eval_precision = 0.026
2022-08-28 19:34:19.966 401:pos-tag                INFO     eval_recall = 0.0116
2022-08-28 19:34:19.966 293:pos-tag                INFO     ********************
2022-08-28 19:34:19.967 294:pos-tag                INFO     Best f1:0.0074
2022-08-28 19:34:19.967 295:pos-tag                INFO     ********************
2022-08-28 19:34:21.143 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/random/saved_codebertmodels/3/layer_5/checkpoint-best-f1/model.bin
2022-08-28 19:34:21.143 315:pos-tag                INFO     ********************
