2023-06-05 07:28:37.010 917:isIngraph              DEBUG  main message
2023-06-05 07:28:37.010 923:isIngraph              WARNING device: cuda, n_gpu: 1
2023-06-05 07:28:37.691 938:isIngraph              INFO   Load Dataset
2023-06-05 07:29:06.267 217:isInGraph              INFO   ../datasets/poj-104/poj-104/test/sample_1000_formated_source_code_clang.json
2023-06-05 07:29:07.171 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/unixcoder/unixcoder_train_ddg_cleaned.pt
2023-06-05 07:29:11.601 301:isInGraph              INFO   Labels Counter({1: 54318, 0: 54318})
2023-06-05 07:29:11.605 217:isInGraph              INFO   ../datasets/poj-104/poj-104/test/sample_1000_formated_source_code_clang.json
2023-06-05 07:29:12.574 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/unixcoder/unixcoder_valid_ddg_cleaned.pt
2023-06-05 07:29:15.103 301:isInGraph              INFO   Labels Counter({0: 18321, 1: 18321})
2023-06-05 07:29:15.104 217:isInGraph              INFO   ../datasets/poj-104/poj-104/test/sample_1000_formated_source_code_clang.json
2023-06-05 07:29:16.073 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/unixcoder/unixcoder_test_ddg_cleaned.pt
2023-06-05 07:29:19.099 301:isInGraph              INFO   Labels Counter({1: 18187, 0: 18187})
2023-06-05 07:29:19.101 306:isInGraph              INFO   *** Example ***
2023-06-05 07:29:19.101 307:isInGraph              INFO   idx: 44400
2023-06-05 07:29:19.101 308:isInGraph              INFO   label: 1
2023-06-05 07:29:19.102 309:isInGraph              INFO   input_tokens_1: ['int', '_main', '()']
2023-06-05 07:29:19.102 317:isInGraph              INFO   input_ids_1: 1 4
2023-06-05 07:29:19.102 324:isInGraph              INFO   input_tokens_reverse_1: <encoder-only> </s> int
2023-06-05 07:29:19.102 334:isInGraph              INFO   input_tokens_2: ['flag', '_=', '_0']
2023-06-05 07:29:19.102 342:isInGraph              INFO   input_ids_2: 29 32
2023-06-05 07:29:19.103 349:isInGraph              INFO   input_tokens_reverse_2: Ġi , Ġj
2023-06-05 07:29:19.103 306:isInGraph              INFO   *** Example ***
2023-06-05 07:29:19.103 307:isInGraph              INFO   idx: 48866
2023-06-05 07:29:19.103 308:isInGraph              INFO   label: 0
2023-06-05 07:29:19.103 309:isInGraph              INFO   input_tokens_1: ['word', 'len']
2023-06-05 07:29:19.103 317:isInGraph              INFO   input_ids_1: 18 20
2023-06-05 07:29:19.103 324:isInGraph              INFO   input_tokens_reverse_1: \ 0
