2023-06-05 22:55:34.256 917:isIngraph              DEBUG  main message
2023-06-05 22:55:34.256 923:isIngraph              WARNING device: cuda, n_gpu: 1
2023-06-05 22:55:35.002 938:isIngraph              INFO   Load Dataset
2023-06-05 22:56:07.094 217:isInGraph              INFO   ../datasets/poj-104/poj-104/test/sample_1000_formated_source_code_clang.json
2023-06-05 22:56:08.116 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/unixcoder/unixcoder_train_cdg_cleaned.pt
2023-06-05 22:56:12.102 301:isInGraph              INFO   Labels Counter({0: 43929, 1: 43909})
2023-06-05 22:56:12.105 217:isInGraph              INFO   ../datasets/poj-104/poj-104/test/sample_1000_formated_source_code_clang.json
2023-06-05 22:56:12.982 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/unixcoder/unixcoder_valid_cdg_cleaned.pt
2023-06-05 22:56:14.324 301:isInGraph              INFO   Labels Counter({0: 14626, 1: 14618})
2023-06-05 22:56:14.325 217:isInGraph              INFO   ../datasets/poj-104/poj-104/test/sample_1000_formated_source_code_clang.json
2023-06-05 22:56:15.195 247:isInGraph              INFO   Load Span file and Graph data, data path: ../datasets/poj-104/isINGraphs/exp1/unixcoder/unixcoder_test_cdg_cleaned.pt
2023-06-05 22:56:16.829 301:isInGraph              INFO   Labels Counter({0: 15161, 1: 15155})
2023-06-05 22:56:16.830 306:isInGraph              INFO   *** Example ***
2023-06-05 22:56:16.830 307:isInGraph              INFO   idx: 42984
2023-06-05 22:56:16.830 308:isInGraph              INFO   label: 1
2023-06-05 22:56:16.831 309:isInGraph              INFO   input_tokens_1: ['3', '_*', '_j']
2023-06-05 22:56:16.831 317:isInGraph              INFO   input_ids_1: 188 191
2023-06-05 22:56:16.831 324:isInGraph              INFO   input_tokens_reverse_1: ĠĠĠĠĠ Ġif Ġ(
2023-06-05 22:56:16.831 334:isInGraph              INFO   input_tokens_2: ['k', '_=', '_save', '[', 'j', ']', '_+', '_3', '_*', '_j']
2023-06-05 22:56:16.831 342:isInGraph              INFO   input_ids_2: 138 148
2023-06-05 22:56:16.831 349:isInGraph              INFO   input_tokens_reverse_2: Ġj Ġ< Ġm ; Ġj ++) Ġ{ Ċ ĠĠĠĠĠ Ġscanf
2023-06-05 22:56:16.831 306:isInGraph              INFO   *** Example ***
2023-06-05 22:56:16.832 307:isInGraph              INFO   idx: 40257
2023-06-05 22:56:16.832 308:isInGraph              INFO   label: 0
2023-06-05 22:56:16.832 309:isInGraph              INFO   input_tokens_1: ['i']
2023-06-05 22:56:16.832 317:isInGraph              INFO   input_ids_1: 119 120
2023-06-05 22:56:16.832 324:isInGraph              INFO   input_tokens_reverse_1: Ġint
2023-06-05 22:56:16.832 334:isInGraph              INFO   input_tokens_2: ['i']
2023-06-05 22:56:16.832 342:isInGraph              INFO   input_ids_2: 115 116
2023-06-05 22:56:16.832 349:isInGraph              INFO   input_tokens_reverse_2: ()
2023-06-05 22:56:16.832 306:isInGraph              INFO   *** Example ***
2023-06-05 22:56:16.833 307:isInGraph              INFO   idx: 43203
2023-06-05 22:56:16.833 308:isInGraph              INFO   label: 1
2023-06-05 22:56:16.833 309:isInGraph              INFO   input_tokens_1: ['e', '[', 'i', ']']
2023-06-05 22:56:16.833 317:isInGraph              INFO   input_ids_1: 86 90
2023-06-05 22:56:16.833 324:isInGraph              INFO   input_tokens_reverse_1: ], Ġ& c [
2023-06-05 22:56:16.833 334:isInGraph              INFO   input_tokens_2: ['a', '[', 'i', ']', '_+', '_b', '[', 'i', ']']
2023-06-05 22:56:16.833 342:isInGraph              INFO   input_ids_2: 138 147
2023-06-05 22:56:16.834 349:isInGraph              INFO   input_tokens_reverse_2: ]) Ġ+ Ġ( f [ i ] Ġ- Ġc
2023-06-05 22:56:16.834 306:isInGraph              INFO   *** Example ***
2023-06-05 22:56:16.834 307:isInGraph              INFO   idx: 48598
2023-06-05 22:56:16.834 308:isInGraph              INFO   label: 1
2023-06-05 22:56:16.834 309:isInGraph              INFO   input_tokens_1: ['printf', '("', '_%', 's', '",', '_a', ')']
2023-06-05 22:56:16.834 317:isInGraph              INFO   input_ids_1: 113 120
2023-06-05 22:56:16.834 324:isInGraph              INFO   input_tokens_reverse_1: Ġ{ Ċ ĠĠĠĠĠ Ġprintf ("\ n %
2023-06-05 22:56:16.835 334:isInGraph              INFO   input_tokens_2: ['k', '_=', '_strlen', '(', 'a', ')']
2023-06-05 22:56:16.835 342:isInGraph              INFO   input_ids_2: 98 104
2023-06-05 22:56:16.835 349:isInGraph              INFO   input_tokens_reverse_2: Ġ+ Ġ1 Ġ+ Ġstrlen ( a
2023-06-05 22:56:16.835 306:isInGraph              INFO   *** Example ***
2023-06-05 22:56:16.835 307:isInGraph              INFO   idx: 49875
2023-06-05 22:56:16.835 308:isInGraph              INFO   label: 0
2023-06-05 22:56:16.835 309:isInGraph              INFO   input_tokens_1: ['a']
2023-06-05 22:56:16.835 317:isInGraph              INFO   input_ids_1: 43 44
2023-06-05 22:56:16.836 324:isInGraph              INFO   input_tokens_reverse_1: Ġgets
2023-06-05 22:56:16.836 334:isInGraph              INFO   input_tokens_2: ['0']
2023-06-05 22:56:16.836 342:isInGraph              INFO   input_ids_2: 47 48
2023-06-05 22:56:16.836 349:isInGraph              INFO   input_tokens_reverse_2: Ċ
2023-06-05 22:56:16.836 306:isInGraph              INFO   *** Example ***
2023-06-05 22:56:16.836 307:isInGraph              INFO   idx: 48859
2023-06-05 22:56:16.836 308:isInGraph              INFO   label: 1
2023-06-05 22:56:16.837 309:isInGraph              INFO   input_tokens_1: ['printf', '("%', 's', '_",', '_s', '[', 'i', '])']
2023-06-05 22:56:16.837 317:isInGraph              INFO   input_ids_1: 117 125
2023-06-05 22:56:16.837 324:isInGraph              INFO   input_tokens_reverse_1: Ġstrlen ( s [ i Ġ+ Ġ1 ]);
2023-06-05 22:56:16.837 334:isInGraph              INFO   input_tokens_2: ['strlen', '(', 's', '[', 'i', '_+', '_1', '])']
2023-06-05 22:56:16.837 342:isInGraph              INFO   input_ids_2: 95 103
2023-06-05 22:56:16.837 349:isInGraph              INFO   input_tokens_reverse_2: s [ i Ġ+ Ġ1 ]) Ġ+ Ġ1
2023-06-05 22:56:16.837 306:isInGraph              INFO   *** Example ***
2023-06-05 22:56:16.838 307:isInGraph              INFO   idx: 46604
2023-06-05 22:56:16.838 308:isInGraph              INFO   label: 1
2023-06-05 22:56:16.838 309:isInGraph              INFO   input_tokens_1: ['d', '_<', '_b']
2023-06-05 22:56:16.838 317:isInGraph              INFO   input_ids_1: 188 191
2023-06-05 22:56:16.838 324:isInGraph              INFO   input_tokens_reverse_1: Ċ ĠĠĠĠĠ Ġy
